ax,ay,az,gx,gy,gz
-13958,-3492,-7952,186,-142,10
-13788,-3618,-8138,112,-40,90
-13736,-3810,-8106,38,-10,110
-13878,-3716,-8130,26,-44,64
-13904,-3602,-8020,22,2,0
-13858,-3608,-7998,-4,-8,-4
-13868,-3552,-8012,-72,16,48
-13898,-3554,-8034,-66,48,36
-13976,-3544,-8054,-6,-2,16
-14028,-3588,-8074,22,46,10
-13878,-3606,-8090,32,80,28
-13784,-3574,-8078,54,52,10
-13806,-3582,-8100,48,4,-16
-13932,-3570,-8046,58,42,0
-13844,-3670,-8012,54,58,8
-13834,-3620,-8086,26,-4,22
-13878,-3618,-8022,16,-16,-10
-13850,-3584,-8086,14,-10,-34
-13828,-3574,-8088,14,-24,-34
-13872,-3574,-8070,40,-30,-20
-13870,-3612,-8108,70,-18,34
-13838,-3658,-8086,56,0,40
-13904,-3612,-8064,42,6,24
-13942,-3558,-8020,30,24,0
-13886,-3546,-7962,4,68,-42
-13804,-3608,-8044,40,48,-14
-13874,-3658,-8072,22,-20,-18
-13838,-3702,-8160,-40,2,-20
-13752,-3692,-8150,-66,16,6
-13858,-3630,-8140,-48,-56,12
-13880,-3554,-8116,-12,-18,6
-13854,-3540,-8052,16,-14,10
-13878,-3522,-8060,46,-38,48
-13894,-3580,-8118,48,-32,76
-13782,-3612,-8116,52,-16,42
-13792,-3610,-8128,54,-58,22
-13878,-3616,-8116,54,-104,8
-13948,-3634,-8064,56,-106,-8
-13932,-3590,-8018,54,-34,22
-13882,-3590,-7986,44,-14,22
-13902,-3616,-8034,22,-28,12
-13872,-3628,-8084,-18,28,4
-13828,-3636,-8058,0,50,4
-13850,-3622,-8076,-12,-8,-8
-13904,-3572,-8112,-10,0,2
-13896,-3562,-8068,4,-6,-4
-13828,-3552,-8052,-2,6,2
-13808,-3618,-8078,0,-2,18
-13814,-3692,-8130,8,12,20
-13808,-3668,-8150,20,20,24
