ax,ay,az,gx,gy,gz
-16128,452,3572,1210,144,-100
-16192,530,3560,1230,200,-108
-16128,650,3482,1264,324,-78
-16088,618,3502,1284,402,-64
-16086,582,3542,1240,428,-56
-16068,602,3528,1198,392,-28
-16092,694,3540,1144,340,-20
-16136,622,3518,1032,356,18
-16058,612,3580,940,312,38
-16058,582,3574,818,192,44
-16078,538,3514,698,146,64
-16012,576,3474,534,120,94
-15858,510,3568,328,26,152
-15870,474,3588,110,-134,174
-16088,542,3530,-72,-282,144
-16346,734,3438,-190,-300,44
-16254,776,3410,-298,-40,88
-15968,630,3600,-406,66,182
-15868,566,3710,-556,-80,218
-16184,716,3564,-604,-250,124
-16308,768,3410,-640,-118,84
-16154,756,3500,-690,90,186
-15896,684,3510,-786,-14,232
-15906,682,3462,-848,-152,172
-16200,744,3578,-770,-144,66
-16316,802,3548,-748,-52,48
-16184,944,3498,-668,-22,102
-16068,1000,3464,-512,42,90
-15920,860,3540,-466,24,60
-15744,732,3504,-504,-160,80
-15744,660,3396,-598,-356,98
-16070,618,3486,-710,-328,14
-16196,702,3640,-804,-198,-18
-16222,532,3642,-984,-154,40
-16094,440,3638,-1048,-128,154
-16130,444,3778,-1148,-286,206
-16128,628,3524,-1158,-454,260
-16026,698,3368,-1074,-436,300
-15760,746,3510,-1116,-482,312
-15726,640,3726,-1118,-604,236
-15990,738,3800,-990,-790,-34
-16200,1000,3546,-858,-854,-270
-16250,1242,3332,-538,-618,-306
-16146,1266,3542,-122,-384,-288
-15974,1214,3586,246,-382,-330
-15958,1198,3588,662,-478,-414
-16192,1244,3446,886,-478,-424
-16386,1174,3472,1240,-150,-388
-16344,990,3670,1434,74,-328
-16242,708,3834,1570,284,-224
