ax,ay,az,gx,gy,gz
-15576,-844,5240,-78,-32,168
-15536,-938,5286,-76,-38,66
-15586,-892,5330,-110,-54,18
-15640,-774,5116,-242,-112,22
-15882,-850,5002,-358,-48,124
-15966,-986,5044,-538,74,272
-15820,-1066,5116,-724,284,536
-15594,-1034,5116,-922,438,650
-15524,-1140,5422,-1008,472,642
-15536,-946,5694,-1094,200,532
-15540,-596,5456,-1108,14,488
-15652,-580,5158,-920,320,372
-15438,-666,5288,-790,538,242
-15314,-600,5546,-616,396,102
-15538,-556,5738,-298,46,50
-15658,-260,5478,-110,-194,92
-15684,-512,5126,16,44,80
-15548,-700,5080,-32,216,84
-15502,-898,5332,80,284,86
-15530,-832,5594,138,-12,48
-15592,-500,5340,220,-118,134
-15644,-796,5242,192,34,32
-15474,-1004,5290,32,10,-16
-15406,-972,5372,-134,-64,-60
-15690,-870,5480,-56,-244,-42
-15824,-558,5128,-58,-248,106
-15796,-860,5022,-110,18,112
-15494,-1092,5126,-266,106,70
-15354,-1008,5260,-342,-14,8
-15554,-750,5392,-276,-234,6
-15818,-488,5152,-190,-272,78
-15848,-696,5098,-134,-52,52
-15570,-792,5222,-138,84,2
-15478,-722,5350,-68,76,-18
-15622,-610,5364,84,-120,-44
-15724,-480,5214,218,-100,4
-15750,-658,5098,270,68,14
-15598,-776,5142,234,130,-30
-15570,-820,5272,264,92,-54
-15668,-664,5268,364,-68,-58
-15766,-542,5110,362,2,-12
-15750,-784,5168,412,176,8
-15512,-922,5164,316,156,-34
-15486,-864,5128,266,146,-78
-15666,-912,5108,204,164,-110
-15688,-948,5202,198,78,-82
-15484,-738,5386,266,-36,-94
-15468,-612,5404,382,-208,-84
-15570,-642,5208,418,-264,-96
-15708,-788,5092,430,-98,-100
