ax,ay,az,gx,gy,gz
-2310,946,-16142,22,-24,0
-2304,984,-16138,26,-36,8
-2272,986,-16120,38,-32,26
-2266,1000,-16136,12,-28,6
-2288,1000,-16142,20,-36,12
-2276,966,-16152,28,-26,12
-2308,988,-16164,22,-26,22
-2278,978,-16148,20,-8,22
-2266,978,-16112,16,-28,18
-2258,992,-16108,32,-38,16
-2286,1004,-16162,26,-24,6
-2294,1000,-16144,24,-14,10
-2296,976,-16136,22,-34,14
-2290,958,-16164,22,-20,14
-2270,982,-16112,28,-30,2
-2280,996,-16166,28,-30,-4
-2280,998,-16142,16,-18,0
-2292,984,-16112,30,-22,6
-2284,978,-16142,22,-16,4
-2316,984,-16162,28,-26,24
-2282,1006,-16088,18,-32,-2
-2304,986,-16136,28,-34,14
-2280,982,-16122,26,-14,12
-2286,984,-16140,28,-18,4
-2294,978,-16136,30,-18,20
-2280,974,-16132,32,-24,14
-2298,970,-16140,30,-26,4
-2276,1002,-16154,26,-26,12
-2290,998,-16166,30,-26,0
-2262,994,-16148,24,-22,8
-2258,974,-16140,24,-18,-2
-2288,988,-16126,16,-28,4
-2270,998,-16124,30,-18,10
-2294,968,-16112,28,-28,10
-2266,964,-16148,16,-20,6
-2296,1032,-16404,46,-18,16
-2346,934,-16168,36,-42,0
-2254,1002,-16224,28,-30,10
-2324,936,-16180,38,-22,6
-2288,1016,-16094,20,-28,10
-2250,1004,-16062,28,-20,32
-2326,988,-16146,36,-20,14
-2274,970,-16174,42,-24,8
-2252,980,-16142,12,-12,10
-2316,1024,-16158,20,-24,12
-2270,1004,-16106,28,-24,14
-2288,1000,-16172,24,-8,12
-2298,978,-16122,28,-22,10
-2288,958,-16130,20,-26,4
-2290,984,-16190,18,-28,4
