ax,ay,az,gx,gy,gz
-13820,-4964,-7734,-900,312,-96
-13696,-4968,-7762,-722,142,-194
-13368,-4794,-7900,-576,-202,-302
-13332,-4918,-7782,-488,-412,-260
-13508,-5286,-7942,-386,-568,-232
-13508,-5678,-7978,-246,-408,-302
-13156,-6242,-7560,-396,-326,-362
-12926,-6502,-7324,-682,-448,-286
-12974,-6598,-7312,-1018,-564,-168
-13414,-6350,-7482,-1138,-444,-62
-13398,-6192,-7392,-1268,-276,-62
-13340,-6096,-7164,-1366,-182,0
-13450,-6294,-7172,-1480,-244,-70
-13414,-6064,-7566,-1684,-344,-148
-13520,-5738,-7622,-1778,-514,-128
-13606,-5544,-7558,-1662,-472,-178
-13348,-5480,-7732,-1674,-420,-224
-13302,-5478,-7668,-1748,-332,-296
-13524,-4842,-7718,-1796,-608,-550
-13654,-4148,-7938,-1538,-792,-642
-13638,-4150,-8546,-792,-656,-610
-13894,-4436,-8404,-164,-452,-664
-14330,-4706,-7912,240,-62,-646
-14084,-4654,-7386,498,168,-376
-13444,-5014,-7632,662,300,38
-12318,-6410,-7944,708,678,274
-12072,-7040,-8024,290,412,152
-12854,-6690,-8110,-212,-30,64
-13408,-6024,-8138,-444,-40,-28
-13458,-5382,-7756,-486,20,-92
-13876,-4768,-7170,-402,-320,-250
-14106,-4734,-7380,-172,-424,-322
-13640,-4962,-7446,16,-122,-252
-13298,-5414,-7428,-118,-302,-286
-13366,-5960,-7636,-370,-432,-414
-13258,-6258,-7820,-802,-464,-554
-12928,-6448,-7648,-1094,-436,-602
-12680,-6628,-7236,-1380,-636,-722
-13026,-6434,-7332,-1428,-858,-944
-13450,-5580,-7672,-1232,-926,-1220
-13538,-4882,-7600,-1020,-890,-1312
-13560,-4652,-7628,-770,-1002,-1238
-14430,-4418,-8162,-56,-1136,-1052
-14802,-4188,-8304,776,-650,-1112
-13782,-4916,-7864,1330,378,-768
-13002,-5426,-7574,1316,364,-504
-13576,-5784,-7614,692,-232,-616
-13936,-6278,-7496,280,144,-316
-13340,-6694,-7210,-52,678,158
-12206,-6948,-6976,-242,754,362
