ax,ay,az,gx,gy,gz
-954,-14496,-7982,-10,-162,162
-852,-14514,-7896,16,96,148
-532,-14318,-7796,62,240,14
-382,-14216,-7706,40,210,28
-318,-14288,-7802,42,104,40
-496,-14310,-7826,160,66,20
-414,-14386,-7684,178,36,-4
-178,-14560,-7548,184,-140,-40
-254,-14626,-7548,168,-226,-24
-402,-14600,-7592,148,-256,-24
-412,-14536,-7558,84,-220,-26
-436,-14486,-7620,18,-216,-56
-404,-14586,-7786,-26,-270,-58
-484,-14514,-7704,-100,-296,-50
-492,-14504,-7608,-238,-190,-16
-590,-14484,-7688,-296,-156,54
-646,-14418,-7896,-292,-96,118
-614,-14250,-7934,-360,-70,98
-558,-14502,-7748,-322,-120,48
-596,-14668,-7680,-348,-178,88
-456,-14442,-7698,-292,18,40
-362,-14154,-7766,-342,174,34
-412,-14074,-7852,-338,170,104
-454,-14082,-7956,-258,46,198
-526,-14146,-8114,-188,56,276
-704,-14132,-8088,-150,302,256
-700,-14200,-7952,-130,470,210
-780,-14286,-7878,-82,410,168
-842,-14296,-7938,-26,370,100
-754,-14394,-7884,4,390,44
-480,-14342,-7824,32,324,-92
-314,-14278,-7810,58,296,-204
-300,-14420,-7746,132,228,-226
-352,-14588,-7738,-16,146,-208
-360,-14480,-7708,-74,162,-154
-290,-14464,-7746,-120,114,-124
-420,-14430,-7888,-210,-38,-206
-546,-14416,-7894,-68,-140,-208
-530,-14480,-7594,-308,4,8
-468,-14768,-7670,-444,12,66
-638,-14826,-7570,-650,66,-126
-370,-14730,-7476,-934,134,-290
-102,-14498,-7808,-946,-94,-372
-132,-14362,-8160,-956,-56,-330
-4,-14010,-8334,-922,-66,-260
38,-13698,-8372,-686,-228,-110
66,-13764,-8408,-412,-394,-50
-48,-13722,-8468,-226,-514,-188
-342,-13898,-8552,-144,-354,-296
-82,-13400,-8456,32,-326,-34
