ax,ay,az,gx,gy,gz
-14324,-2800,5988,398,446,866
-15506,-1848,5998,324,964,640
-16156,-682,5894,372,1358,774
-16228,-250,5398,814,2216,1000
-15850,-1038,5588,1302,3280,1012
-15482,-2268,5962,1616,4018,688
-15222,-1752,5290,1752,4092,-110
-15074,-1732,4662,1672,4526,-180
-14958,292,3482,1664,4490,554
-14640,568,2784,1714,4152,1604
-14040,-222,4026,1754,3676,2318
-13620,-658,4694,2036,2050,2170
-15680,-1794,4886,2282,-714,882
-23020,156,4438,546,-3742,-3186
-25344,994,1582,-1244,-714,-3720
-17796,1158,1864,-304,3906,-724
-13634,508,2484,334,2924,754
-15016,38,2618,638,98,1400
-16370,126,2442,1124,-72,1628
-15792,-322,3386,1428,820,1622
-13892,-1206,3588,996,1224,728
-13694,-1354,4436,688,744,-578
-15214,-1708,4048,98,74,-2162
-16686,-546,3138,-578,700,-2960
-17438,-122,1948,-782,1500,-2584
-17506,-868,1130,-900,2230,-1678
-17182,-1534,1534,-734,2556,-1270
-16502,-1312,2282,-1226,2276,-1226
-15992,-416,2874,-1380,1656,-774
-15718,-174,3204,-1650,786,-234
-15842,-492,3378,-1590,-86,0
-16282,-792,2944,-1584,-810,76
-16230,-700,2476,-1602,-822,298
-15888,-810,2696,-1660,-508,386
-16104,-778,2690,-1598,-242,270
-15992,-370,3072,-1594,-234,194
-16004,76,3130,-1232,-728,134
-16150,372,2950,-604,-932,194
-16504,562,3556,96,-1334,534
-16622,588,3288,824,-1878,998
-16576,496,2904,1442,-2012,1192
-16168,180,2954,2046,-2144,1276
-16062,112,2900,2176,-2296,1230
-16090,-78,2518,2202,-2234,1226
-16062,-142,2480,1856,-2076,1152
-15966,-134,2418,1912,-2154,860
-16118,280,2380,1886,-2102,716
-16108,970,2754,1820,-2076,658
-15914,1542,2730,1940,-2138,554
-15916,1820,2392,1832,-2132,356
