ax,ay,az,gx,gy,gz
-16046,-438,2370,346,-128,-260
-16150,-192,2222,328,-284,-404
-16272,0,2136,410,-314,-314
-16424,-258,2322,376,-396,-194
-16412,-180,2178,254,-444,-64
-16150,-26,2236,298,-464,74
-16102,-644,2034,524,-522,16
-16490,-654,2004,260,-182,-92
-16384,-642,2422,224,304,-140
-16428,-300,2566,-252,138,-284
-16154,-326,2788,-518,264,6
-16040,-702,2886,-810,-106,26
-16632,-854,2244,-1198,-192,-98
-16564,-330,2164,-1594,102,56
-16160,-292,2488,-1634,148,264
-16206,-224,2410,-1626,-44,350
-16364,-92,2236,-1486,-52,298
-16432,132,2060,-1382,40,258
-16390,154,2086,-1128,244,320
-16366,64,2242,-950,278,176
-16266,94,2244,-850,300,96
-16166,124,2276,-692,432,72
-16228,-8,2362,-698,346,-28
-16330,-188,2324,-636,286,-78
-16346,-58,2176,-642,260,-148
-16346,6,2294,-658,270,-124
-16182,24,2318,-616,52,-98
-16112,-120,2334,-522,-56,-28
-16292,-98,2322,-512,-210,-86
-16418,-16,2242,-410,-192,-116
-16474,110,2290,-360,-132,-170
-16262,208,2394,-234,-112,-132
-16250,78,2396,-104,-272,-94
-16380,32,2340,54,-238,-64
-16372,-128,2358,126,-154,-22
-16310,-98,2316,188,-170,30
-16428,-152,2358,180,-200,76
-16470,-174,2276,184,-208,102
-16354,-84,2214,326,-74,242
-16276,-174,2272,280,-94,230
-16286,-212,2264,238,-110,236
-16304,-310,2276,162,-130,216
-16360,-328,2200,36,-54,144
-16394,-154,2224,-32,120,88
-16320,-208,2314,-42,176,92
-16208,-134,2342,-46,142,188
-16292,-138,2236,-78,-24,178
-16344,-124,2222,-112,-28,148
-16306,-2,2316,-82,-46,118
-16296,12,2476,-44,-144,134
