ax,ay,az,gx,gy,gz
-2934,-15648,-4218,416,-234,-108
-2920,-15696,-4228,408,64,-32
-2682,-15618,-4130,502,86,0
-2596,-15580,-3996,518,8,-58
-2640,-15758,-3912,494,-60,-60
-2572,-15700,-3916,438,-100,-56
-2544,-15684,-3948,506,-272,-104
-2644,-15762,-3858,486,-342,-112
-2804,-15820,-3816,334,-300,-50
-2928,-15720,-3916,350,-238,18
-2928,-15612,-3946,340,-72,70
-2684,-15684,-3762,246,42,40
-2640,-15752,-3784,284,-138,-50
-2814,-15744,-3784,266,-262,-52
-2810,-15780,-3836,288,-278,-78
-2760,-15686,-3934,304,-246,-116
-2746,-15614,-3900,280,-198,-134
-2718,-15712,-3830,274,-168,-64
-2812,-15708,-3786,378,-150,-30
-2950,-15726,-3810,364,-84,-14
-2846,-15654,-3840,250,50,-26
-2698,-15694,-3752,280,72,-80
-2646,-15706,-3590,352,22,-110
-2666,-15868,-3518,296,-74,-82
-2772,-15794,-3740,202,-136,-56
-2930,-15770,-3850,204,26,-44
-2682,-15770,-3658,176,82,-58
-2472,-15898,-3506,174,-40,-86
-2498,-15960,-3526,96,-126,-40
-2688,-15792,-3638,140,-172,-52
-2758,-15746,-3566,70,-82,0
-2662,-15768,-3536,-80,-54,60
-2688,-15864,-3586,-170,-80,42
-2792,-15904,-3614,-170,-42,38
-2792,-15806,-3670,-180,34,58
-2710,-15666,-3680,-190,-6,28
-2754,-15700,-3684,-236,-74,26
-2780,-15752,-3798,-232,-88,-16
-2788,-15708,-3844,-148,-34,-42
-2604,-15638,-3804,-154,-26,-48
-2616,-15658,-3766,-152,-46,-20
-2646,-15756,-3700,-136,-118,-4
-2758,-15732,-3862,-76,-74,2
-2730,-15608,-3864,-72,50,16
-2572,-15784,-3642,-110,-22,66
-2618,-15736,-3724,-114,-128,44
-2748,-15670,-3900,-10,-142,56
-2842,-15610,-3938,16,-140,52
-2920,-15670,-3908,24,-40,-6
-2794,-15644,-3822,88,46,-24
