ax,ay,az,gx,gy,gz
-2228,936,-16116,14,-22,8
-2234,926,-16204,26,-20,4
-2222,938,-16158,30,-26,16
-2232,908,-16156,32,-16,6
-2216,834,-16166,32,-32,22
-2242,932,-15922,36,-8,16
-2242,852,-16694,86,-22,-8
-2032,1042,-16228,24,-20,22
-2274,902,-16120,28,-22,8
-2264,848,-16290,6,-34,2
-2226,976,-15930,18,-24,20
-2200,974,-16282,22,-26,8
-2202,954,-16010,22,-12,4
-2300,886,-16246,24,-10,10
-2218,964,-16116,16,-24,18
-2202,888,-16206,44,-20,12
-2184,960,-16136,34,-22,16
-2248,904,-16158,32,-18,4
-2264,928,-16218,8,-44,18
-2212,920,-16138,26,-24,20
-2272,948,-16158,24,-28,22
-2246,902,-16102,32,-20,12
-2200,922,-16160,24,-28,8
-2230,944,-16108,36,-26,4
-2232,906,-16220,32,-16,0
-2226,912,-16168,28,-24,14
-2210,932,-16184,24,-24,8
-2254,954,-16124,20,-22,-4
-2246,910,-16138,36,-24,-4
-2230,942,-16158,30,-24,2
-2228,916,-16166,26,-24,12
-2204,950,-16122,12,-20,2
-2224,974,-16200,48,-24,12
-2226,918,-15940,20,-34,22
-2250,896,-16106,14,-32,6
-2220,910,-16188,24,-12,16
-2202,924,-16096,16,-34,12
-2258,922,-16092,22,-36,6
-2266,928,-16128,32,-30,10
-2234,978,-16120,38,-32,12
-2230,926,-16162,40,-16,12
-2222,926,-16234,24,-14,6
-2218,882,-16150,28,-34,6
-2258,904,-16176,12,-24,12
-2224,964,-16146,26,-22,10
-2248,962,-16080,34,-14,12
-2220,938,-16158,24,-22,10
-2226,916,-16140,20,-22,8
-2210,910,-16184,24,-22,12
-2288,866,-16190,30,-32,12
