ax,ay,az,gx,gy,gz
-13908,-3844,-7920,66,-96,18
-13912,-3794,-7820,38,-94,-20
-13878,-3836,-7832,22,-84,-50
-13940,-3856,-7872,-18,-84,-16
-14116,-3868,-7908,6,-114,-18
-14044,-3778,-7804,66,8,-26
-13838,-3780,-7930,72,-16,-50
-13816,-3822,-7866,38,-56,-28
-13920,-3870,-7886,-6,-28,-10
-13954,-3920,-7860,16,34,-10
-13922,-3876,-7854,4,10,12
-13892,-3878,-7896,10,40,44
-13944,-3910,-7862,0,12,56
-13938,-3824,-7894,32,8,34
-13892,-3720,-7874,24,46,8
-13852,-3734,-7936,42,34,26
-13830,-3764,-7938,20,22,40
-13920,-3846,-7944,10,-32,52
-13982,-3882,-7910,34,-26,46
-13876,-3836,-7874,64,-26,16
-13866,-3778,-7844,50,-36,4
-13886,-3772,-7926,20,-44,18
-13894,-3822,-7934,-6,-78,30
-14058,-3858,-7970,22,-100,20
-13988,-3780,-7816,102,-6,0
-13836,-3726,-7972,62,-14,-26
-13882,-3782,-7810,30,-26,6
-13916,-3812,-7832,10,-16,26
-13984,-3904,-7806,52,34,0
-13946,-3892,-7822,26,22,6
-13898,-3886,-7890,16,6,36
-13908,-3866,-7914,4,-30,26
-13894,-3754,-7898,24,-38,-20
-13918,-3756,-7852,26,16,-22
-13912,-3806,-7886,44,30,24
-13888,-3774,-7920,32,14,36
-13884,-3776,-7940,52,2,16
-13948,-3850,-7874,56,36,20
-13936,-3854,-7900,68,58,60
-13904,-3842,-7868,36,86,62
-13874,-3924,-7844,16,80,64
-13866,-3962,-7912,-10,18,74
-14030,-3928,-7988,-22,-34,48
-13990,-3766,-7866,46,78,22
-13868,-3636,-7950,20,98,20
-13794,-3666,-7858,24,68,64
-13844,-3786,-7942,32,-6,84
-13958,-3860,-7922,38,70,36
-13924,-3868,-7896,32,72,50
-13900,-3872,-7932,-10,62,86
