ax,ay,az,gx,gy,gz
-298,-13570,-8948,-668,-94,10
-330,-13490,-9066,-474,-190,28
-462,-13424,-9116,-282,-286,-10
-602,-13352,-9052,-196,-238,-90
-580,-13500,-9044,-168,-160,-70
-392,-13742,-8888,-132,-124,-88
-508,-13662,-9030,-80,-124,-92
-592,-13578,-9072,-74,-24,-60
-540,-13658,-9040,-8,44,-80
-428,-13690,-8942,42,122,-94
-268,-13646,-8912,96,88,-50
-140,-13720,-8828,62,24,-16
-272,-13758,-8890,116,-132,-26
-470,-13828,-8792,34,-118,-4
-486,-13848,-8766,-60,-162,-4
-404,-13748,-8856,-150,-142,24
-392,-13688,-8984,-156,-96,40
-452,-13704,-8952,-74,-92,18
-492,-13740,-8884,-56,-162,-40
-460,-13692,-8884,-80,-202,-60
-484,-13582,-9062,-104,-164,-26
-446,-13548,-9092,-58,-88,-22
-458,-13576,-9016,-26,-42,-20
-420,-13582,-9032,30,-46,-10
-366,-13602,-9006,130,-44,-12
-424,-13584,-8986,172,-68,-48
-522,-13650,-8948,196,-68,-54
-466,-13694,-8828,170,-96,-46
-442,-13784,-8872,130,-100,-22
-490,-13764,-8956,122,-8,30
-424,-13800,-8842,74,48,46
-396,-13764,-8898,48,18,14
-370,-13622,-8920,32,-28,2
-382,-13492,-8966,70,-88,8
-524,-13542,-8988,134,-86,-32
-440,-13818,-8862,92,-72,-50
-290,-13974,-8806,34,-114,-42
-324,-13778,-8840,68,-74,10
-376,-13722,-8816,-14,-128,34
-568,-13754,-8928,-22,-164,2
-600,-13700,-9006,-58,-92,-38
-498,-13630,-8996,-14,68,4
-434,-13610,-8926,44,44,2
-354,-13644,-8914,42,4,8
-326,-13724,-8910,90,-20,-10
-440,-13790,-8814,68,-24,6
-530,-13790,-8822,-2,-20,38
-462,-13776,-8810,-28,-10,80
-364,-13884,-8882,-80,36,50
-486,-13740,-8954,-50,68,36
