ax,ay,az,gx,gy,gz
-12760,6296,-8168,28,44,60
-12774,6322,-8164,20,34,50
-12700,6388,-8204,64,38,46
-12716,6388,-8208,56,20,56
-12710,6332,-8198,54,10,50
-12696,6380,-8194,32,2,34
-12718,6386,-8196,28,-6,24
-12756,6316,-8246,22,-8,6
-12784,6306,-8230,26,-20,26
-12746,6322,-8196,0,-24,2
-12756,6350,-8176,-2,-20,-10
-12756,6346,-8180,0,0,-12
-12780,6370,-8158,26,30,-18
-12716,6378,-8160,20,28,-14
-12752,6356,-8178,18,-16,-10
-12796,6342,-8112,24,-2,6
-12748,6326,-8164,48,42,10
-12714,6354,-8232,86,32,16
-12766,6374,-8264,102,-26,0
-12756,6322,-8192,94,10,22
-12696,6314,-8226,94,30,14
-12724,6304,-8184,64,16,30
-12740,6314,-8218,40,34,22
-12746,6302,-8174,30,64,22
-12758,6286,-8214,28,72,18
-12778,6302,-8246,44,62,2
-12754,6356,-8234,58,80,0
-12728,6326,-8258,54,58,38
-12768,6378,-8352,40,36,88
-12944,6462,-8310,94,162,94
-12836,6510,-8206,138,332,60
-12494,6396,-8216,134,228,50
-12524,6336,-8214,48,70,10
-12776,6300,-8198,16,116,-42
-12810,6234,-8260,48,230,8
-12726,6134,-8254,32,294,66
-12658,6146,-8198,32,260,62
-12700,6248,-8222,42,202,32
-12654,6362,-8258,18,124,58
-12604,6438,-8272,84,84,102
-12624,6506,-8332,148,92,156
-12600,6456,-8422,178,80,168
-12590,6426,-8428,184,-6,140
-12552,6358,-8394,144,-86,110
-12556,6348,-8362,100,-98,84
-12566,6412,-8440,62,-40,64
-12642,6398,-8424,92,-8,16
-12650,6284,-8414,86,-20,-38
-12628,6264,-8428,14,-38,-52
-12636,6280,-8452,-50,-48,-66
