ax,ay,az,gx,gy,gz
-16222,520,3160,52,-524,-144
-16292,508,2928,76,-508,-160
-16242,252,2880,4,-452,-42
-16164,-176,2918,-290,-562,42
-16256,-112,2822,-538,-604,14
-16380,208,2886,-840,-308,74
-16384,230,3102,-1028,36,142
-16300,420,3168,-1074,166,194
-16234,734,3018,-1028,224,268
-16112,950,3166,-956,328,308
-16124,1000,3310,-794,188,248
-16188,1108,3260,-582,34,152
-16198,1280,3240,-204,100,164
-16082,1226,3324,152,270,226
-16168,1066,3594,502,322,126
-16220,1022,3488,686,346,0
-16124,1138,3368,884,490,-42
-15988,976,3518,1156,580,32
-15908,724,3712,1262,344,44
-15850,524,3680,1340,8,-40
-16032,394,3402,1274,-148,-60
-16314,262,3470,1178,-26,-26
-16336,222,3278,878,62,48
-16134,212,3310,674,300,104
-15928,116,3614,488,326,88
-15938,146,3604,254,86,14
-16108,376,3448,114,-12,-28
-16232,416,3486,38,78,2
-16266,516,3518,-20,102,32
-16140,554,3452,-36,-42,86
-15950,542,3346,-42,-60,66
-15978,564,3380,-48,-104,4
-16096,708,3372,-14,-44,-40
-16100,724,3442,0,64,-4
-16094,610,3338,-10,4,12
-16162,528,3282,-50,-48,-16
-16026,514,3268,-42,-96,-70
-15944,616,3312,-54,-282,-56
-16072,714,3088,-80,-620,-8
-16176,616,2984,-114,-592,-2
-16136,312,3126,-112,-406,-28
-16074,232,3192,-154,-308,-84
-16062,320,3170,-162,-306,-126
-16084,270,2970,-292,-450,-84
-16196,424,3096,-336,-480,-86
-16138,552,3358,-248,-476,-172
-16014,662,3384,-134,-562,-276
-15930,756,3394,14,-704,-346
-16038,790,3506,260,-728,-376
-15972,854,3558,472,-798,-396
