ax,ay,az,gx,gy,gz
-15992,1106,3810,2104,-392,-138
-16142,998,3690,2178,-334,-144
-16136,972,3752,2188,-148,-212
-15998,1266,3956,2056,46,-256
-15996,1212,4020,2072,50,-124
-15990,1372,4014,1950,-116,90
-16108,1216,3936,1978,56,220
-16146,1174,3994,1960,206,322
-15948,1000,3934,1916,366,286
-15684,1146,3968,1822,416,328
-15590,1074,4056,1718,326,224
-15732,1282,4068,1594,24,52
-15940,1340,3956,1468,-72,-18
-15982,1336,3760,1286,80,-68
-15922,1252,3792,1192,202,-46
-15810,1040,3830,976,248,-140
-15676,1146,3762,726,204,-332
-15614,1208,3856,590,134,-530
-15740,1428,4098,362,-216,-526
-15900,1546,3912,378,-482,-298
-16026,1458,3802,312,-570,-50
-15994,1338,3788,234,-436,-182
-15748,1324,3814,36,-302,-314
-15570,1452,3798,-150,-250,-440
-15516,1364,3890,-284,-266,-526
-15690,1440,4038,-480,-472,-638
-15820,1438,3904,-542,-592,-792
-15914,1490,4016,-464,-382,-966
-15866,1664,4648,-220,-286,-1056
-15982,1700,5142,154,-452,-914
-16396,1740,4940,372,-984,-390
-16800,1306,4164,326,-976,116
-16706,614,3362,44,-294,652
-16136,266,3184,-384,322,692
-15458,728,3508,-1158,558,468
-15296,1246,3766,-1502,252,322
-15496,1384,3994,-1626,-112,132
-15758,1548,4008,-1744,-422,-184
-16040,1600,3936,-1766,-526,-216
-16264,1626,3892,-1590,-318,-92
-16196,1652,3986,-1334,-58,-20
-15938,1722,4148,-954,130,6
-15846,1692,4250,-672,68,36
-15886,1552,4168,-466,-116,184
-16058,1426,3916,-374,-154,222
-16096,1280,3784,-382,-4,214
-15998,1166,3800,-428,198,172
-15834,1166,3942,-504,246,114
-15834,1178,4086,-602,82,74
-15962,1190,4094,-626,14,62
