ax,ay,az,gx,gy,gz
-9866,-7786,-9796,-4298,2768,9092
-9100,-7730,-10030,-4316,2782,7996
-8838,-6992,-9968,-3056,2764,6802
-8960,-6132,-8958,-3134,2656,6116
-9626,-7120,-8112,-2552,2634,6074
-9418,-6918,-7490,-1868,3168,5478
-9176,-5338,-8038,-1442,3414,4638
-9028,-4728,-8120,-348,3508,4796
-8724,-6296,-7964,118,3174,5740
-7922,-7722,-7990,-252,3442,5292
-7342,-7424,-7878,-294,3760,4062
-6722,-4308,-7796,-1082,3200,3728
-7018,-4964,-8310,-1250,1466,4754
-7488,-6808,-8068,-1156,1362,4198
-7028,-6840,-6814,-1774,414,3020
-6542,-3702,-5818,-1282,-1526,1548
-6122,-1338,-5916,-1512,-4328,94
-6632,-780,-7042,-750,-6034,586
-6750,-5532,-9740,-126,-5108,1214
-10164,-7048,-12010,-1402,-876,1502
-16100,-9530,-14196,-1590,3808,3764
-14482,-12488,-11952,-2056,7256,4700
-5438,-11930,-7506,-4752,4074,3010
-3922,-8420,-8032,-4654,-2212,1670
-9634,-3492,-11432,-2236,-6082,2650
-14910,-2494,-12006,-108,-3918,4948
-14690,-7098,-10210,534,-2210,5444
-13024,-8470,-10542,-10,-2826,4808
-13550,-5676,-11430,-84,-3120,4120
-14046,-1858,-10932,774,-2074,4052
-12384,-1728,-9608,1398,-2102,4240
-13134,-3794,-6450,1668,-2528,4636
-13614,-4134,-6058,-40,-2996,4462
-14096,-2410,-6694,-1594,-2798,4718
-13986,-1692,-6330,-2460,-2538,5204
-13906,-1404,-6128,-3524,-3618,6152
-15504,-1428,-5792,-4368,-4938,6176
-16722,-114,-5760,-4468,-5206,5938
-18802,-264,-6242,-3700,-6592,6110
-21150,-798,-6572,-2562,-7642,5988
-22464,-1962,-7434,-1942,-8446,5494
-23766,-500,-8204,-798,-9484,4260
-25732,828,-9006,822,-8904,3574
-25238,174,-8780,1966,-6998,2220
-22864,970,-7266,2548,-7564,2014
-22396,-172,-7082,2310,-8504,1902
-21402,-764,-7596,2016,-8066,1554
-21202,-2300,-7372,2132,-7272,742
-21014,-2636,-7792,2514,-6102,-1466
-20480,-1246,-7230,3040,-4668,-2372
