ax,ay,az,gx,gy,gz
-15464,430,1404,-128,4168,1988
-15542,1408,1176,-574,924,1126
-16782,1672,510,-796,-294,1474
-17176,1694,-506,-400,-740,1266
-17116,3012,-316,-414,-392,1604
-16588,1876,-174,-42,-276,2078
-16234,1358,146,-256,-410,1800
-15980,1700,2,-450,-482,1474
-15518,1408,72,-680,-476,1332
-14760,1162,354,-1000,-1042,1004
-14984,954,-48,-1336,-1564,372
-15604,1758,-430,-1546,-1416,-266
-16230,2180,-562,-1422,-856,-208
-16696,2012,-422,-2086,-352,166
-16774,1048,-422,-2624,-276,596
-16528,-28,-754,-3524,-362,662
-16066,272,-590,-4178,-692,206
-15782,1204,24,-4726,-1514,-440
-16328,2980,46,-4756,-2636,-658
-16862,3426,-762,-4816,-2692,-568
-17450,4120,-776,-4456,-1550,-182
-16822,4394,-98,-3826,-442,134
-15528,3804,124,-3268,-288,78
-14748,3472,-352,-2962,-1190,-844
-14686,3310,-670,-3100,-1856,-1692
-14800,2930,-982,-3600,-2380,-2390
-15666,3144,-654,-4264,-2574,-2540
-16672,1318,266,-4424,-2590,-2020
-17480,2710,2658,-3948,-2786,-1580
-17858,3794,3700,-2304,-3076,-842
-17850,3794,4668,-310,-3484,490
-18078,2230,4294,890,-4830,1850
-17984,380,1732,1428,-5126,2364
-18276,-976,1144,1566,-3186,1560
-17724,-1862,1562,1068,-470,582
-15328,-1886,2528,-84,1622,-40
-14076,-2412,3484,-896,1152,-152
-14334,-2874,4000,-1612,-1046,-564
-15034,-3666,3190,-1994,-2246,-788
-15294,-3746,2656,-3080,-1860,-806
-15100,-3432,2856,-4032,-838,-738
-15184,-2802,3696,-4558,-634,-586
-15476,-2606,4318,-5038,-1632,-770
-15648,-2870,4082,-6106,-2204,-550
-16494,-2802,3532,-7178,-2176,-712
-17244,-2968,3568,-7836,-2126,-810
-17920,-3230,4002,-8730,-2096,-1234
-18190,-3380,4148,-9752,-1920,-1296
-18076,-3542,4096,-10624,-1706,-1186
-17624,-3994,4238,-11784,-1300,-1098
