ax,ay,az,gx,gy,gz
-16732,-986,2636,-22,-708,-118
-16284,-976,2914,554,-766,-390
-15680,-568,2956,1162,-1436,-306
-15804,-792,3094,1468,-1896,96
-15788,-862,2870,1848,-2384,340
-15652,-218,1660,2270,-2270,504
-15996,-136,1098,2894,-1518,520
-16318,-476,928,3510,-336,402
-16526,-146,1208,3994,182,72
-16698,1300,1186,5148,510,-202
-15764,2000,1862,6436,254,-684
-14986,2246,2506,8384,-834,-1552
-15168,2288,2038,10632,-2026,-2830
-15636,2100,1902,11864,-1830,-3452
-16078,-382,4414,11966,-696,-3056
-16508,-3198,7410,11984,-1188,-2376
-17986,-1348,7918,13734,-3608,-1104
-21042,4048,3504,15748,-4892,2830
-21524,4048,620,15900,-1260,4696
-18506,-1896,-1392,13584,4530,5556
-15000,-6366,-1344,12016,7378,3060
-11380,-6120,2968,9498,5472,-444
-10030,-3378,4878,8206,-298,-1592
-11954,304,3316,7460,-4750,-656
-17738,1744,714,7610,-5366,1534
-21862,-230,-714,7860,-2316,2384
-21700,-2110,198,7164,1370,2462
-19134,-2158,2344,5748,2008,1862
-17808,32,2302,5168,1370,936
-17542,874,1612,5624,1944,-34
-16888,82,1262,5476,2696,-766
-16976,-2270,114,4648,2348,-1652
-17444,-3316,-1062,3344,2288,-2772
-16940,-2872,-890,714,2716,-3870
-15832,-2348,-148,-1278,2370,-4062
-15052,-2078,430,-3486,1638,-3560
-14724,-1550,302,-5004,1372,-2820
-14090,-738,312,-6258,1144,-2080
-13644,-1022,1352,-7678,164,-1206
-13850,-1968,1592,-9062,-888,-470
-14106,-1764,1642,-10266,-1450,-110
-14658,-1512,2696,-11030,-2178,42
-15662,-1842,3686,-12296,-3626,-158
-17912,-910,4178,-13452,-5946,-1390
-18314,934,1828,-13010,-5860,-1878
-18390,3058,926,-11610,-3302,-1278
-18316,2558,874,-10314,-1316,-380
-17200,-52,922,-9306,-100,-72
-15894,-1410,1510,-9394,-268,-396
-15012,-1778,1550,-9716,-1388,-598
