ax,ay,az,gx,gy,gz
-17464,1870,1742,-3940,-810,752
-17158,880,2396,-4024,-920,1770
-16326,2,2360,-4312,-878,1922
-16018,-322,2360,-4600,-840,1680
-15906,-134,2050,-4652,-928,1186
-15788,-184,1544,-4790,-422,674
-15626,180,2128,-4500,102,36
-15664,278,2284,-4128,-238,-410
-16116,770,1938,-3702,-564,-546
-16708,1126,1766,-2990,-512,-308
-17022,1032,1626,-2196,-58,-48
-16802,446,1754,-1420,504,172
-16502,140,1946,-1088,572,200
-16306,364,1966,-774,294,106
-16210,238,1758,-622,16,152
-16116,-122,1644,-658,-94,174
-16204,-278,1796,-724,-158,104
-16376,-196,1850,-678,-126,-20
-16428,34,1806,-670,-46,-142
-16544,-166,1624,-694,46,-202
-16644,-328,1538,-704,264,-128
-16474,-256,1522,-672,332,6
-16374,76,1488,-588,272,90
-16384,694,1360,-340,184,126
-16448,796,1538,-112,62,220
-16696,768,1680,-56,-188,360
-16692,614,1376,78,-128,490
-16500,254,1312,106,184,522
-16294,64,1476,80,314,408
-16194,246,1574,126,278,368
-16274,292,1684,106,166,276
-16444,212,1554,12,130,220
-16548,-102,1294,-142,278,128
-16456,24,1492,-268,346,212
-16316,10,1720,-302,158,400
-16376,-74,1612,-336,-156,466
-16416,184,1440,-276,-176,360
-16232,360,1530,-162,-88,358
-16124,432,1738,-8,-272,326
-16214,286,1688,168,-562,198
-16360,154,1542,136,-494,10
-16378,108,1390,-4,-428,-92
-16124,88,1428,18,-432,-118
-15832,-8,1710,8,-666,-236
-16068,164,1700,292,-900,-530
-16440,0,1330,428,-688,-774
-16404,-174,1530,406,-608,-688
-15982,-194,2004,582,-672,-754
-15930,-586,1750,792,-960,-966
-16446,-394,1906,904,-972,-1196
