ax,ay,az,gx,gy,gz
-16540,-316,1634,-66,-44,-156
-16590,-424,1542,342,358,-188
-16516,-718,1420,518,560,-140
-16234,-1180,1192,540,518,-24
-16036,-1556,1096,396,168,38
-16210,-1730,1046,20,-354,62
-16548,-1520,1144,-336,-538,142
-16690,-1248,1374,-614,-512,262
-16572,-858,1480,-752,-340,374
-16420,-572,1676,-700,-78,342
-16372,-294,1798,-516,200,204
-16408,-298,1848,-308,406,120
-16458,-456,1870,-134,608,54
-16320,-632,1924,130,900,-64
-16274,-594,2044,338,1058,-198
-16304,-502,2006,502,938,-252
-16144,-624,1578,542,584,-188
-15918,-1202,1184,328,-110,-68
-15998,-1682,1156,-20,-770,-26
-16214,-1796,1286,-366,-1306,86
-16580,-1596,1344,-804,-1584,252
-16728,-1362,1512,-998,-1406,350
-16604,-830,1782,-960,-856,330
-16390,-408,1904,-778,-444,196
-16194,50,1836,-276,-70,-32
-16378,262,1814,218,180,-198
-16524,90,1760,696,438,-316
-16558,-134,1596,1328,814,-436
-16398,-416,1564,1682,1014,-478
-16338,-844,1400,1798,812,-436
-16466,-1064,1114,1694,466,-292
-16536,-1332,972,1412,94,-12
-16452,-1402,1260,1044,-256,270
-16336,-1324,1638,744,-496,430
-16306,-1244,1878,444,-690,532
-16338,-1082,1902,306,-554,508
-16212,-924,1926,274,-134,322
-16104,-734,2006,310,152,74
-16134,-540,1998,434,324,-162
-16504,-310,2002,608,618,-416
-16666,-284,1914,682,856,-486
-16468,-676,1596,698,858,-364
-16254,-1350,1360,514,610,-200
-16206,-1922,1032,132,16,-8
-16462,-1956,1004,-284,-402,160
-16588,-1578,1328,-656,-632,316
-16440,-1162,1770,-968,-672,482
-16266,-780,1994,-1010,-534,424
-16100,-50,2000,-612,-206,132
-16156,550,2134,-86,104,-240
