ax,ay,az,gx,gy,gz
-1684,-14280,-7512,-860,-258,-318
-1508,-14424,-7208,-598,70,-98
-1264,-14212,-6812,-780,-6,-56
-1326,-14136,-7014,-576,-634,6
-1358,-14086,-7182,-484,-798,-24
-1580,-14658,-7036,-382,-802,46
-1462,-14796,-6836,-444,-990,-66
-1898,-14948,-6936,-210,-970,-204
-2038,-14640,-6952,-270,-624,-84
-2280,-15004,-7116,-384,-280,-228
-1988,-14816,-7148,-454,190,-310
-1652,-15058,-7270,-386,266,-512
-1004,-14408,-7170,-324,352,-676
-762,-14296,-7152,-298,248,-300
-1154,-14494,-7056,-58,74,-370
-1374,-14462,-7062,-98,64,-238
-1650,-15002,-6958,-224,58,-336
-1762,-15082,-7060,-322,-96,-816
-1654,-14410,-7220,-312,-2,-962
-1202,-14380,-7286,-198,94,-770
-1036,-14686,-6954,-150,-132,-868
-1184,-14946,-6760,-292,-596,-1090
-1484,-14892,-7044,-388,-672,-1280
-1444,-15092,-7076,-798,-304,-1020
-1410,-15546,-7184,-872,-90,-1334
-1020,-14966,-7244,-954,62,-1516
-798,-14728,-7180,-830,-10,-1510
-932,-14664,-7292,-928,-78,-1658
-754,-14592,-7402,-1286,-50,-1714
-370,-14446,-6824,-1690,250,-1222
-512,-14566,-6388,-2122,-162,-654
-1318,-14656,-7700,-2392,-432,-620
-1240,-14576,-8832,-2384,242,-644
-900,-14252,-8896,-2000,1176,-576
-142,-13498,-7934,-1402,1268,220
488,-14136,-7580,-1606,766,958
1270,-13848,-7658,-980,-928,842
1178,-12432,-8434,-530,-1592,446
614,-12878,-7952,-444,-2294,1064
-142,-14680,-8098,-716,-2678,1302
-1330,-15262,-8564,-1050,-2060,786
-1878,-13782,-8454,-910,-1202,608
-1754,-13254,-8500,-874,-674,994
-1206,-13584,-8366,-1000,-112,1586
-1090,-13870,-8184,-796,-204,1538
-1148,-13862,-8460,-722,-740,1200
-1488,-13706,-8650,-456,-1004,908
-1822,-13844,-8646,-268,-902,790
-2146,-14136,-8604,24,-568,730
-2076,-14868,-8738,-28,-56,750
