ax,ay,az,gx,gy,gz
-15434,1686,2792,2206,-3936,-2550
-14862,2250,2102,2214,-3468,-2476
-14012,2806,1440,2502,-2706,-1864
-12878,2316,1438,3092,-1810,-1452
-11506,1728,1414,3094,-1850,-1504
-10222,1860,838,2526,-2430,-1862
-10132,2198,-62,1842,-2836,-1968
-11236,2750,210,1744,-2610,-1788
-12410,1942,2186,1118,-1634,-456
-13378,444,2686,466,-2112,-234
-14664,-504,1108,-80,-4180,-748
-16508,150,156,698,-5196,-3080
-18224,4722,1716,3668,-1910,-4688
-18724,6930,3172,8018,874,-5186
-17960,7194,4448,11530,1568,-3336
-16562,4084,6640,15202,2096,-964
-15490,1540,6514,16496,2352,-758
-15280,250,5702,15968,1612,-2104
-15340,-2050,4472,14516,1832,-2824
-14638,-3634,5330,12480,2854,-3944
-14032,-3410,7688,10708,3266,-4460
-13676,-3248,9266,8968,2452,-4174
-13832,-2126,7922,8126,-180,-3480
-14996,-762,6338,8464,-1654,-2618
-16850,-294,5508,9646,-1754,-1984
-17360,-432,5432,9892,-732,-1912
-16886,-914,5304,9954,292,-2212
-16084,-988,5298,9886,1124,-2932
-15466,-1156,5228,9866,996,-3526
-14768,-1762,5006,9460,-192,-3974
-14722,-2162,4892,8960,-1728,-3986
-15536,-2286,3886,7624,-3366,-3740
-16364,-1756,3134,6684,-3222,-3338
-16482,-1406,3168,5948,-1712,-2500
-15710,-1580,3848,5582,-106,-1670
-15096,-2030,4526,5032,308,-1410
-15132,-2480,5124,4304,8,-1320
-15622,-2602,4918,3354,-324,-1364
-16708,-3024,3482,3210,-1004,-2122
-16786,-1414,2808,3016,-220,-2064
-16086,-184,2718,3942,204,-1730
-14788,1446,3618,5130,1394,-1660
-14530,1714,5452,5600,684,-820
-14726,-998,6276,5128,-2474,238
-15152,-664,5644,4128,-4878,196
-15826,234,4664,4472,-6300,-564
-16688,346,3726,4810,-5094,-1684
-16966,752,3570,5074,-2728,-2712
-16072,2646,4440,5532,-788,-2958
-15450,2718,5386,5868,-130,-2294
