ax,ay,az,gx,gy,gz
58,-14432,-7832,-206,352,-180
138,-14358,-8062,-204,224,-74
-208,-14142,-8414,-44,-168,-48
-506,-13888,-8318,-34,-148,-38
-60,-13798,-8398,-128,124,18
468,-13784,-8132,26,-240,38
-66,-14198,-8066,-20,-598,66
-762,-14678,-8216,-414,-468,152
-970,-14652,-8186,-564,-220,168
-928,-14296,-8360,-616,144,156
-554,-13740,-8536,-440,220,152
-378,-13510,-8502,-340,182,156
-506,-13806,-8476,-368,-40,44
-732,-13936,-8606,-388,-46,26
-582,-13620,-8664,-112,194,100
-676,-13738,-8542,82,234,74
-812,-13962,-8486,94,216,-126
-550,-14106,-8550,86,328,-182
-88,-14108,-8350,164,330,-86
156,-14034,-8130,336,238,44
84,-14364,-8084,234,26,98
-394,-14260,-8460,138,-404,22
-646,-13952,-8548,96,-146,-4
-324,-13768,-8376,74,272,88
-144,-13944,-8376,126,76,154
-396,-14326,-8112,34,-154,116
-580,-14448,-8162,-358,-28,70
-366,-14224,-8392,-436,80,58
-418,-13822,-8538,-172,92,52
-358,-13852,-8516,26,48,94
-258,-13906,-8370,38,-166,40
-650,-13926,-8536,-82,-338,8
-792,-13928,-8444,-194,-24,18
-676,-13986,-8556,-72,154,96
-818,-13748,-8616,178,122,60
-946,-13804,-8588,276,298,-14
-662,-13946,-8480,158,412,-70
-202,-14172,-8384,142,386,-112
248,-13990,-8352,254,280,-68
314,-13900,-8138,372,106,6
-258,-14390,-8324,386,-246,16
-696,-14414,-8460,296,-206,-40
-210,-14092,-8192,146,120,0
212,-13990,-8100,108,0,98
88,-14032,-8126,88,-372,100
-686,-14418,-8200,-224,-430,70
-762,-14392,-8354,-496,-156,42
-468,-14116,-8540,-440,-2,100
-386,-13872,-8538,-110,-48,118
-376,-13652,-8522,88,-148,120
