ax,ay,az,gx,gy,gz
-12570,6814,-8120,-118,-60,2
-12620,6832,-8140,-116,-16,-30
-12588,6844,-8160,-86,-2,-46
-12604,6788,-8122,-78,-24,-16
-12608,6560,-8068,-18,-90,-22
-12878,6388,-8148,64,-204,14
-12924,6330,-8246,90,-208,6
-12784,6366,-8194,38,-32,18
-12562,6424,-8050,6,38,16
-12526,6562,-8076,-76,14,4
-12516,6780,-8070,-146,-26,-24
-12584,6780,-8070,-138,32,-50
-12634,6848,-8186,-112,58,-104
-12594,6888,-8178,-112,64,-88
-12544,6820,-8016,-66,38,-14
-12648,6652,-7960,8,-60,32
-12838,6438,-8088,68,-126,38
-13010,6368,-8220,128,-48,22
-12788,6392,-8158,132,84,-6
-12564,6460,-8050,70,90,2
-12546,6548,-8052,10,40,4
-12552,6686,-8038,-16,28,4
-12530,6800,-8088,16,34,-22
-12636,6802,-8160,24,38,-50
-12644,6818,-8178,32,98,-46
-12620,6768,-8134,18,80,2
-12654,6628,-8138,52,-16,34
-12782,6488,-8200,82,-50,10
-12798,6390,-8236,86,-40,8
-12680,6420,-8132,70,16,-4
-12632,6462,-8074,20,34,14
-12574,6544,-8104,2,32,22
-12576,6614,-8082,20,32,-4
-12592,6676,-8142,10,26,-36
-12692,6730,-8174,24,34,-32
-12674,6782,-8146,22,66,0
-12558,6732,-8182,48,58,12
-12646,6692,-8170,56,-6,10
-12660,6596,-8162,54,-54,-10
-12632,6574,-8130,66,-18,-6
-12662,6610,-8194,100,-18,12
-12678,6540,-8166,122,-6,8
-12616,6546,-8136,128,14,-2
-12646,6548,-8112,114,56,-14
-12660,6558,-8118,86,56,-4
-12704,6562,-8154,78,76,-12
-12664,6550,-8190,76,84,-30
-12648,6536,-8196,92,94,-26
-12656,6558,-8202,64,92,-4
-12612,6562,-8206,52,72,12
