ax,ay,az,gx,gy,gz
-12616,6572,-8168,16,14,18
-12642,6572,-8160,26,24,18
-12640,6598,-8156,42,52,12
-12656,6556,-8192,58,58,4
-12642,6578,-8200,64,34,26
-12604,6572,-8224,28,28,18
-12618,6580,-8200,48,16,8
-12578,6558,-8236,74,-20,8
-12574,6534,-8238,58,-30,2
-12596,6526,-8248,26,-54,8
-12608,6540,-8244,10,-60,8
-12638,6550,-8228,6,-50,10
-12632,6522,-8212,-6,-60,2
-12638,6522,-8206,-2,-46,-6
-12646,6512,-8210,-4,-50,-6
-12642,6542,-8198,-32,-56,-22
-12608,6586,-8206,-28,-72,-24
-12606,6568,-8184,-22,-68,-10
-12606,6592,-8232,-14,-74,-18
-12650,6550,-8198,-16,-86,-10
-12622,6572,-8190,-2,-70,-12
-12674,6530,-8160,-20,-92,-2
-12686,6550,-8160,-30,-74,12
-12652,6550,-8182,-24,-46,2
-12672,6544,-8180,0,-68,-10
-12632,6558,-8208,12,-96,-28
-12672,6486,-8182,4,-100,20
-12610,6538,-8182,-14,-104,36
-12594,6582,-8164,-6,-84,14
-12618,6574,-8164,-16,-58,-6
-12666,6548,-8160,-22,-62,12
-12710,6568,-8116,-28,-54,20
-12700,6550,-8128,4,-28,6
-12660,6524,-8134,14,-4,-4
-12656,6512,-8166,4,-32,-2
-12620,6590,-8152,-4,-32,6
-12634,6590,-8188,12,-30,6
-12582,6574,-8214,22,-42,10
-12614,6576,-8182,18,-68,16
-12608,6576,-8190,4,-70,12
-12660,6564,-8142,-2,-90,16
-12666,6566,-8148,-6,-94,14
-12716,6540,-8158,6,-76,2
-12688,6560,-8140,10,-68,4
-12668,6578,-8122,-24,-60,10
-12668,6564,-8138,-14,-60,6
-12656,6564,-8152,-10,-30,0
-12648,6570,-8142,2,-40,0
-12632,6588,-8144,8,-44,-10
-12706,6578,-8118,0,-58,-2
