ax,ay,az,gx,gy,gz
-15352,-174,6130,2122,-1930,-4374
-15886,-518,6018,2936,-1586,-4776
-15808,-1312,5646,3818,-1166,-5018
-15588,-1938,5456,4662,-692,-5328
-15280,-1856,5450,5140,-594,-5354
-15026,-1818,5450,5812,-720,-5488
-15380,-2132,5572,6136,-742,-5214
-15838,-1790,4886,7026,-638,-5382
-16420,-1538,4598,7814,60,-5558
-16570,-950,4496,8538,1136,-5498
-16246,-1260,4772,9434,2228,-5050
-15698,-2082,5214,10110,2460,-4900
-15368,-2890,5232,10814,2382,-4980
-15180,-2994,5046,11168,2190,-5038
-15046,-3402,5020,11258,2278,-4786
-14956,-4114,5098,11150,2436,-4646
-14896,-4720,4790,10750,2550,-4440
-14882,-5080,4662,10086,2906,-3732
-14372,-4488,4224,9726,2460,-3574
-14348,-4148,3448,9676,2242,-3196
-14500,-4030,3316,9760,2342,-2662
-14604,-3722,3306,9728,2348,-2256
-14506,-3160,3616,9778,2334,-1676
-14044,-2632,4150,9818,1934,-1094
-13572,-2918,4438,9988,952,-370
-13738,-3480,4526,10198,222,-126
-14456,-3042,4984,10392,-152,162
-15434,-3100,5548,10670,-48,278
-15740,-3902,5142,10324,214,454
-15224,-4506,5630,9370,770,824
-15386,-5266,6826,8800,1172,630
-15478,-5172,7298,7546,1112,-552
-15496,-5202,6958,6486,1306,-1322
-15620,-5542,7058,4708,2254,-2618
-14932,-3578,7376,3358,2224,-3184
-14448,-1968,8258,2346,1476,-3138
-15688,-932,9292,1856,-458,-3482
-17146,-22,9202,1326,-1124,-4292
-18346,-684,8314,-278,912,-4266
-18478,-512,7914,-612,1898,-3782
-17796,-474,6454,-700,2602,-2570
-15322,4910,5250,104,2170,-1180
-15554,6314,5540,3780,658,1036
-16510,6710,5274,5552,1026,4132
-15498,1288,6626,5672,408,4666
-13486,332,5402,4360,-1596,2058
-14210,2048,4128,3532,-1578,1902
-17948,-220,3418,2882,-1198,4322
-16670,-2112,5760,1256,2260,1604
-15430,-1614,7492,1426,-618,2684
