ax,ay,az,gx,gy,gz
-2300,-15670,-3998,86,46,28
-2280,-15598,-4082,120,28,-10
-2268,-15684,-4022,174,26,-26
-2330,-15784,-3904,188,-4,26
-2326,-15810,-3834,190,-6,58
-2350,-15774,-3896,180,56,52
-2356,-15790,-3926,170,130,40
-2300,-15774,-3878,168,120,40
-2308,-15786,-3850,128,42,34
-2312,-15776,-3890,94,50,60
-2274,-15766,-3864,106,42,58
-2298,-15710,-3896,92,-6,24
-2332,-15766,-3802,46,-50,44
-2356,-15800,-3888,68,-94,-4
-2402,-15802,-3978,26,-30,-10
-2258,-15740,-3916,60,14,14
-2202,-15788,-3826,40,12,34
-2294,-15724,-3946,74,0,14
-2382,-15688,-3944,92,48,-4
-2320,-15706,-3880,104,24,2
-2290,-15798,-3844,70,-34,26
-2342,-15762,-3824,50,-24,32
-2334,-15770,-3868,88,16,34
-2326,-15738,-3864,74,42,20
-2364,-15708,-3878,62,34,38
-2234,-15786,-3824,28,-18,8
-2286,-15734,-3928,62,-12,36
-2288,-15802,-3860,70,38,56
-2292,-15772,-3846,100,14,62
-2304,-15724,-3878,116,-36,38
-2370,-15668,-3954,140,4,38
-2382,-15730,-3892,148,82,24
-2328,-15860,-3814,110,72,58
-2274,-15812,-3804,164,-12,34
-2368,-15732,-3872,228,18,26
-2372,-15748,-3808,190,58,44
-2388,-15812,-3736,108,44,58
-2220,-15900,-3744,56,-10,32
-2244,-15832,-3808,74,-28,-4
-2364,-15752,-3846,82,40,16
-2348,-15744,-3778,108,28,38
-2328,-15752,-3768,78,-68,-14
-2326,-15772,-3868,76,-70,-54
-2290,-15792,-3818,84,-24,-60
-2298,-15794,-3796,78,4,-8
-2358,-15782,-3782,90,12,20
-2336,-15814,-3724,72,26,46
-2322,-15786,-3780,56,0,46
-2364,-15776,-3816,64,14,16
-2370,-15786,-3786,34,18,2
