ax,ay,az,gx,gy,gz
-15720,-578,1818,-378,-198,530
-16094,50,1250,-802,38,82
-16326,616,1074,-1030,320,-210
-16404,1114,1054,-1078,420,-322
-16270,1590,1256,-940,334,-358
-16142,1786,1438,-574,110,-476
-16342,1492,1556,-28,-124,-664
-16644,1302,1632,456,-158,-660
-16664,862,1886,862,-136,-472
-16660,178,2474,1092,-158,-232
-16836,-854,3262,1416,-470,184
-17002,-92,2214,1554,-1258,776
-16836,214,1920,1696,-856,1192
-15836,-258,2428,1424,-246,1006
-15414,-16,2392,1184,-378,522
-15934,676,1786,708,-678,298
-16858,1150,1750,616,-600,374
-17236,1144,1680,910,-302,524
-16670,982,1742,1102,46,662
-15824,716,2086,1106,64,740
-15606,-26,2202,1096,-534,604
-16114,-480,1990,876,-1134,464
-17048,-450,1558,476,-962,400
-17306,-10,1670,-222,-18,770
-16678,164,1906,-676,400,1140
-16012,826,2034,-1048,354,1210
-16012,1234,1982,-1092,178,1074
-16040,1436,2132,-1062,92,844
-16018,1428,2172,-1044,24,708
-15976,1334,2074,-1054,-164,594
-15884,1346,2110,-1050,-566,488
-15902,1330,2114,-1124,-872,370
-16134,1374,2124,-1266,-1086,196
-16124,1630,2154,-1472,-1116,82
-16038,1632,2362,-1738,-1132,56
-16044,1794,2472,-1976,-1194,-118
-16274,1864,2294,-2184,-1260,-350
-16312,2056,2070,-2390,-958,-522
-16116,1930,2154,-2452,-592,-626
-15918,2084,2324,-2644,-282,-960
-15862,2220,2336,-2648,-328,-1212
-16038,2528,2412,-2442,-326,-1616
-16594,2578,2796,-2328,-144,-1712
-17598,-988,4866,-2240,456,-758
-17556,930,3348,-2034,-964,-86
-17880,142,1592,-1790,-1740,1734
-17178,118,1428,-2454,-398,2828
-15798,-212,1788,-3030,752,2704
-14550,-106,2256,-3984,708,2164
-14222,800,3240,-4724,-410,1140
