ax,ay,az,gx,gy,gz
848,8118,-14528,526,1184,8372
1814,7474,-14446,-12,1216,7700
1864,8142,-14768,-110,784,8162
1906,8134,-14236,-736,872,9384
3094,7844,-14510,-1776,-600,12656
3150,7176,-14700,-2956,-1090,14636
3032,6702,-14038,-4202,-672,17300
3440,5872,-14248,-4654,180,17922
3682,5970,-13596,-5674,1254,18496
3398,6306,-15672,-4946,2720,17300
2714,8104,-13280,-5272,3194,17622
3578,8660,-13606,-5038,3930,17392
3966,7894,-13036,-5266,4712,17006
6376,7108,-12960,-4570,4560,14480
7250,6864,-13392,-4064,3846,12512
7416,7064,-12856,-3142,2668,11086
7448,7180,-12892,-3162,1730,12046
8244,6864,-13194,-3924,1124,13910
8474,6776,-12064,-5136,828,16712
8904,6562,-12536,-4386,582,17262
9446,6200,-12062,-2842,2100,11654
9516,5440,-12378,-2622,1306,8334
8458,6514,-12416,-1382,1338,9506
7980,6546,-11070,-854,1230,10974
9206,5520,-11666,58,446,10634
10378,4796,-12048,286,446,6388
10660,5322,-12178,430,-146,3186
9800,4960,-11938,412,-260,2296
9340,4476,-11884,314,-566,2916
9528,4646,-11864,468,-1786,3704
9524,4498,-12102,446,-2470,5390
10246,4746,-11944,830,-1904,5586
10398,4120,-12286,1734,-1722,4644
9914,3818,-12412,1776,-1010,2776
10078,3832,-12132,2032,-1546,1922
10204,3712,-12378,1890,-2306,1912
9974,3840,-12304,1880,-3808,2810
9600,3612,-12544,2234,-5686,4274
9286,3114,-12864,2674,-5212,4530
8952,3172,-13062,2646,-4746,3446
9090,2748,-13378,2262,-4442,2626
8660,2678,-13120,1516,-4256,1058
8116,3020,-13044,1134,-5242,790
7970,2546,-13574,566,-6250,1406
7944,2096,-13986,1474,-5120,2320
7962,2106,-14224,1074,-5662,3062
7568,2064,-14076,218,-6200,2818
7186,2670,-13704,-90,-6886,1950
7298,2208,-13248,10,-8108,1328
7148,2328,-14056,-356,-10284,550
