ax,ay,az,gx,gy,gz
-15522,-792,5238,-414,-216,12
-15580,-728,5198,-436,-280,-8
-15602,-680,5218,-438,-246,-2
-15630,-630,5220,-446,-234,-20
-15652,-612,5238,-430,-256,-6
-15704,-596,5228,-390,-222,16
-15694,-582,5176,-308,-158,42
-15660,-626,5292,-230,-44,46
-15648,-652,5354,-204,-52,40
-15606,-672,5328,-164,-68,52
-15542,-744,5264,-184,-32,92
-15502,-778,5318,-182,-34,88
-15570,-786,5376,-178,-138,64
-15620,-740,5368,-170,-208,44
-15642,-706,5294,-146,-130,48
-15620,-716,5374,-106,-40,48
-15610,-676,5442,-56,-4,60
-15578,-640,5348,8,-40,18
-15594,-644,5322,52,-4,6
-15646,-624,5294,122,2,16
-15648,-654,5290,194,42,-4
-15558,-744,5320,260,54,14
-15580,-792,5372,252,14,32
-15590,-798,5336,202,6,10
-15622,-800,5340,132,-4,-6
-15656,-790,5354,64,2,12
-15588,-806,5332,-40,76,60
-15612,-844,5362,-124,102,84
-15660,-858,5342,-186,88,76
-15658,-758,5318,-230,116,78
-15624,-694,5328,-252,198,70
-15504,-662,5320,-232,208,76
-15462,-608,5298,-190,152,58
-15510,-606,5384,-162,34,16
-15606,-588,5334,-122,-78,22
-15660,-622,5222,-66,-104,52
-15614,-670,5220,2,-14,68
-15562,-726,5240,26,-10,44
-15578,-746,5220,28,-90,10
-15698,-796,5194,12,-116,-6
-15742,-788,5158,16,-2,-14
-15692,-846,5146,-46,142,34
-15652,-882,5248,-108,136,42
-15620,-896,5188,-134,32,36
-15628,-862,5228,-126,64,6
-15620,-728,5200,-128,14,10
-15636,-748,5144,-136,34,4
-15616,-710,5214,-82,62,-36
-15598,-662,5198,-84,24,-38
-15590,-714,5172,-60,-46,-40
