ax,ay,az,gx,gy,gz
-15148,-1458,6954,78,-98,178
-15284,-1790,6794,4,188,212
-15138,-2062,6834,-130,432,246
-14836,-2074,6870,-244,298,204
-14794,-2172,6898,-280,-84,204
-15268,-2246,7302,-246,636,562
-15046,-1898,7024,-60,2196,1128
-14326,-1724,6670,-164,2216,938
-14082,-2238,6904,-298,1206,478
-14398,-2282,7092,-446,138,50
-14540,-1906,7150,-664,-334,2
-14912,-1678,7174,-410,-690,44
-14862,-1942,6412,-174,-496,104
-14774,-2038,6670,-472,-572,-64
-15294,-1816,6906,-440,-548,-190
-15420,-1724,6736,-640,-402,-16
-14984,-2152,6618,-902,-332,196
-15020,-2164,6738,-702,-484,-78
-14958,-2052,6672,-868,-350,-16
-14756,-1850,6444,-900,-384,194
-15240,-1926,6520,-582,-414,374
-15532,-2330,6112,-532,-298,476
-15548,-2824,6052,-884,-46,530
-15424,-2904,6350,-1580,328,504
-15178,-2790,6490,-2004,458,678
-14868,-3208,6478,-2644,472,1054
-14846,-3504,6328,-3060,542,1532
-15018,-4230,6176,-3928,658,2124
-15024,-5626,6306,-6144,958,3114
-14922,-7096,6278,-8194,1128,3944
-14624,-7442,6244,-10950,1140,4234
-14374,-7170,5860,-11494,754,3834
-14734,-5314,5728,-12006,1270,2604
-15238,-2904,6240,-11904,1478,2184
-15776,-1020,6124,-11176,1666,1106
-16416,-254,5176,-9582,1546,468
-16092,-440,4332,-7912,1876,-238
-15600,-144,3610,-5620,2094,-936
-15576,172,3424,-3326,2404,-956
-16292,-714,3374,-280,2958,-818
-16608,-1412,3594,1036,4190,-992
-16500,-2606,3626,2466,5184,-1868
-16398,-2076,3026,3742,6126,-2872
-16014,-928,3032,4556,7580,-3100
-14226,-1858,3652,5838,8978,-3946
-12916,104,5356,6622,9198,-4270
-13422,-1752,5238,8024,7156,-3900
-14634,-4086,4362,8446,5808,-3530
-15496,-5142,3478,8006,5044,-3950
-16870,-3538,4424,6692,4700,-3336
