ax,ay,az,gx,gy,gz
-878,-15510,-5282,-134,0,-14
-832,-15534,-5370,-6,70,-64
-546,-15610,-5190,60,172,-96
-614,-15548,-4892,2,26,-74
-654,-15614,-5082,-24,-8,-2
-826,-15492,-5238,-28,-22,-6
-758,-15530,-5178,-42,8,18
-788,-15512,-5116,-80,-70,28
-590,-15562,-5142,-148,-126,6
-590,-15562,-5230,-68,-224,-54
-774,-15552,-5220,-60,-174,-96
-898,-15474,-5284,-40,-70,-62
-790,-15386,-5298,4,-60,-24
-798,-15504,-5212,40,-100,-32
-814,-15626,-5186,-42,-12,-24
-794,-15548,-5270,-54,104,-4
-706,-15508,-5218,-80,154,-4
-642,-15474,-5176,-124,120,0
-664,-15464,-5236,-118,122,92
-686,-15498,-5246,-80,112,156
-610,-15516,-5252,-50,68,148
-620,-15400,-5320,22,-98,54
-758,-15432,-5288,44,-118,8
-830,-15374,-5326,50,-132,-38
-834,-15356,-5286,122,-256,-98
-772,-15510,-5268,122,-166,-38
-708,-15556,-5232,146,-92,-36
-806,-15424,-5280,194,-168,-124
-870,-15596,-5158,122,-108,-96
-774,-15510,-5284,216,-42,-110
-532,-15650,-5124,178,112,24
-532,-15718,-4970,-76,84,102
-632,-15472,-5190,-50,-40,70
-778,-15662,-5230,52,30,148
-806,-15856,-4876,-144,228,268
-784,-15818,-5036,-226,140,266
-762,-15834,-5052,-392,110,220
-814,-15660,-5190,-462,136,186
-740,-15538,-5204,-470,114,140
-724,-15524,-5180,-466,72,150
-710,-15302,-5356,-498,2,120
-708,-15242,-5500,-494,-40,92
-762,-15210,-5556,-378,-168,50
-816,-15276,-5532,-266,-176,80
-840,-15318,-5574,-180,-148,122
-904,-15276,-5508,-28,-76,106
-920,-15284,-5530,50,-10,86
-954,-15294,-5540,104,46,66
-848,-15330,-5472,90,72,38
-846,-15350,-5404,112,80,26
