ax,ay,az,gx,gy,gz
-15648,1076,3998,1434,-986,-2158
-15794,182,4312,1822,-794,-2014
-15524,450,4240,2186,-742,-1658
-14824,-50,4316,1816,-346,-302
-14864,-208,4664,1556,-538,274
-15304,-198,4674,1354,-1216,788
-16230,-238,5242,558,-1934,846
-15734,224,3068,820,-1208,718
-17846,-1272,5238,226,-1306,132
-16912,-538,4180,-808,-876,-510
-15110,-46,3790,-286,426,192
-15104,-366,5288,-656,162,318
-15730,-118,4986,-1128,-1062,8
-16210,160,4236,-1240,-988,50
-16518,318,4036,-1270,-304,138
-16220,592,4458,-1170,304,184
-15844,752,4716,-948,298,132
-15546,912,4748,-606,30,114
-15584,906,4606,-218,-152,112
-15714,904,4586,108,-192,72
-15846,868,4566,484,-160,-30
-15824,722,4510,718,-92,-30
-15894,520,4608,946,-8,-38
-15896,382,4622,1006,142,-4
-15782,224,4746,974,160,86
-15804,40,4796,812,140,98
-15882,-292,4758,626,178,94
-15794,-424,4660,368,274,90
-15654,-382,4646,128,320,226
-15716,-384,4756,-130,146,328
-15740,-258,4732,-330,-72,226
-15796,64,4666,-426,-142,76
-15838,184,4702,-458,-194,-8
-15822,438,4690,-330,-260,-78
-15750,588,4640,-82,-256,-152
-15712,786,4648,208,-256,-174
-15794,708,4738,550,-244,-254
-15742,656,4776,800,-170,-226
-15878,506,4784,978,-120,-202
-15890,388,4800,1106,-202,-130
-15856,178,4508,1206,40,-56
-15864,10,4896,1060,212,-74
-15806,-128,4920,808,54,-150
-15638,-78,4754,484,138,-40
-15710,-76,4740,266,226,36
-15900,-72,4978,-62,238,76
-15882,66,4944,-438,112,4
-15674,316,4848,-628,40,78
-15716,438,4804,-660,80,156
-15752,452,4816,-696,46,164
