ax,ay,az,gx,gy,gz
-15292,-348,8544,1110,-678,300
-14562,-508,7778,728,-1040,322
-14990,168,7990,32,-384,426
-13364,-970,8192,-1056,-226,1092
-13520,-574,8698,-816,462,114
-13592,-570,8504,94,-76,-334
-13554,-772,7338,-510,-26,-578
-12322,148,7198,-1424,864,-1078
-15448,-1590,8498,372,-1120,998
-13994,-1792,9042,176,200,-682
-14092,-564,9302,174,-1510,-1010
-14128,-1112,8058,298,-1688,-530
-14572,-1214,7554,-298,-306,-556
-14356,-1080,8006,104,834,-342
-14446,-778,8400,980,1094,252
-14514,-1156,8566,1540,440,534
-13842,-2160,9178,1886,-444,312
-14850,-450,8318,1382,-1864,154
-14556,-730,7890,1240,-1680,-2
-14142,-602,7564,1106,-570,-268
-13986,-670,7874,1710,936,-160
-14398,-362,8150,1866,1294,132
-14504,-146,8212,1514,618,436
-14144,-528,8510,708,-22,780
-14256,-902,8276,306,-496,914
-14476,-648,7786,444,426,566
-14250,-398,7608,578,1326,390
-14178,-404,7844,586,1812,566
-14184,-542,8072,284,1908,628
-14404,-690,8198,-12,1686,388
-14736,-520,8458,94,1490,156
-14800,-588,8038,350,1664,-42
-14748,-216,7828,114,2012,-378
-14426,-338,7656,562,1840,-236
-14772,-478,7540,-4,1830,-436
-14410,-354,7576,-212,1698,-408
-14866,-48,7310,-300,1056,-414
-14772,-334,7106,-294,752,-358
-14796,-240,6914,-544,1186,-442
-14508,298,6816,50,1772,-160
-14612,-166,6844,396,2394,220
-15016,-420,7386,280,3114,344
-14900,-524,7074,446,2604,404
-15042,-460,6926,890,1950,474
-15142,-652,6898,812,1728,206
-15282,-394,6988,642,1494,-88
-15298,-206,6718,816,1116,-154
-15342,94,6320,842,1260,128
-15382,-418,6232,618,2386,2
-14924,-144,6258,564,2760,-114
