ax,ay,az,gx,gy,gz
-1442,-16128,-2468,26,-6,10
-1416,-16154,-2460,38,-18,34
-1402,-16142,-2454,34,2,16
-1400,-16172,-2448,74,-20,-2
-1446,-16118,-2484,52,-38,-14
-1414,-16122,-2416,18,-40,-22
-1384,-16226,-2372,-26,-32,-14
-1362,-16244,-2440,-34,-30,18
-1400,-16186,-2438,-10,-58,22
-1458,-16132,-2450,-2,-54,4
-1436,-16116,-2470,-16,-48,-6
-1378,-16124,-2438,-38,-60,-26
-1370,-16176,-2432,-90,-80,-4
-1360,-16210,-2468,-70,-104,-8
-1422,-16178,-2474,-74,-48,-6
-1426,-16160,-2474,-50,-4,20
-1396,-16202,-2440,-68,-16,42
-1390,-16178,-2484,-38,-14,58
-1388,-16104,-2496,-42,-26,32
-1450,-16128,-2486,-42,-90,14
-1482,-16142,-2510,-36,-98,6
-1440,-16148,-2530,-52,-88,-4
-1420,-16114,-2510,-48,-86,-14
-1400,-16126,-2554,-24,-50,-6
-1370,-16132,-2504,28,-32,28
-1336,-16146,-2544,78,-20,16
-1376,-16074,-2556,118,-36,4
-1416,-16092,-2540,108,-82,-4
-1416,-16168,-2502,128,-98,0
-1442,-16182,-2454,136,-80,-14
-1472,-16184,-2432,116,-92,-24
-1496,-16150,-2498,84,-80,-28
-1464,-16194,-2462,40,-68,-18
-1448,-16244,-2406,8,-44,-6
-1332,-16204,-2410,-22,-20,2
-1340,-16178,-2468,-36,-48,-8
-1386,-16148,-2488,-32,-68,2
-1436,-16140,-2504,18,-98,0
-1452,-16138,-2482,22,-92,-14
-1356,-16142,-2468,32,-88,-30
-1358,-16138,-2450,6,-84,-26
-1408,-16176,-2484,18,-70,12
-1426,-16192,-2476,12,-30,24
-1432,-16186,-2444,-10,-2,14
-1464,-16142,-2468,-12,-6,34
-1446,-16126,-2506,-28,6,20
-1394,-16156,-2462,-48,-6,18
-1400,-16172,-2448,-56,-38,18
-1444,-16164,-2470,-38,-50,24
-1406,-16132,-2524,-28,-60,4
