ax,ay,az,gx,gy,gz
-16332,922,2066,748,-276,-122
-16472,712,2060,808,-244,-82
-16350,660,2256,730,-236,-62
-16250,778,2366,698,-256,-68
-16248,774,2398,652,-268,-54
-16340,794,2340,586,-252,-24
-16398,752,2284,538,-192,-2
-16330,754,2350,500,-132,-70
-16266,818,2474,492,-156,-114
-16378,792,2394,444,-278,-38
-16436,840,2256,432,-150,18
-16274,772,2472,472,14,24
-16112,858,2602,508,-32,-16
-16266,938,2510,514,-106,-4
-16530,794,2322,528,-8,136
-16412,746,2320,528,182,186
-16142,706,2594,528,200,82
-16106,826,2706,520,46,0
-16306,858,2492,474,-108,40
-16384,812,2332,452,46,92
-16272,738,2362,434,140,42
-16088,730,2526,438,-2,-94
-16140,820,2560,406,-148,-108
-16378,794,2440,402,-280,-28
-16438,768,2318,424,-236,4
-16332,726,2408,388,-170,-72
-16184,802,2540,480,-284,-154
-16280,844,2398,484,-382,-148
-16450,786,2260,480,-308,-84
-16346,808,2400,472,-210,-82
-16158,810,2540,422,-310,-124
-16270,864,2488,344,-338,-132
-16380,862,2336,278,-256,-72
-16390,790,2334,158,-72,24
-16306,744,2412,30,6,22
-16254,842,2474,-124,-12,20
-16318,906,2382,-242,-32,48
-16352,814,2290,-344,174,56
-16222,808,2368,-424,194,2
-16122,892,2402,-494,56,-52
-16304,1092,2232,-652,-110,44
-16506,1088,2120,-540,-42,256
-16324,874,2214,-414,394,234
-16050,914,2442,-350,422,66
-16126,1072,2334,-310,58,42
-16428,1080,2128,-256,132,136
-16568,850,2092,-208,342,176
-16292,730,2274,-142,352,128
-16154,738,2370,-176,216,46
-16256,964,2314,-154,70,68
