ax,ay,az,gx,gy,gz
-16450,-712,3662,622,100,626
-16050,-646,3258,404,516,694
-15812,-348,3384,326,652,646
-16078,-184,3722,188,286,368
-16170,-92,3280,74,2,166
-16044,-72,2798,26,104,144
-15820,-214,3090,4,134,188
-15846,-370,3562,-40,-144,182
-16318,-536,3826,-174,-524,212
-16400,-488,3442,-172,-540,204
-15902,8,3184,-42,128,128
-15766,-100,3922,58,502,142
-16046,-468,4350,-16,74,132
-16516,-454,3776,-74,-138,70
-16446,-60,3590,88,460,58
-15780,204,4196,172,888,118
-15362,-12,4496,138,510,116
-15570,-58,4310,194,-234,-32
-15912,128,4022,240,-460,-94
-16040,182,3684,232,-274,-72
-15980,8,3842,108,28,46
-15932,-304,4068,-38,-214,116
-16044,-544,3898,-290,-538,110
-16240,-432,3736,-450,-410,186
-16308,-384,3878,-482,58,426
-16158,-450,4078,-416,404,536
-15850,-554,4080,-408,456,598
-15746,-636,4012,-408,194,448
-15860,-504,3852,-516,-20,234
-16136,-198,3806,-662,-104,24
-16170,-42,3740,-662,-62,-46
-15844,264,3834,-420,32,-92
-15632,458,3974,-160,-178,-110
-15644,620,3942,170,-540,-156
-15980,642,3686,596,-794,-272
-16196,618,3578,916,-728,-300
-16214,332,3622,1218,-356,-236
-16078,-4,3832,1374,-178,-178
-15932,-274,3914,1388,-206,-200
-15904,-344,3842,1262,-412,-260
-15894,-274,3748,1184,-472,-314
-15850,-266,3818,1050,-506,-330
-15914,-240,4088,1044,-642,-338
-15938,-422,4174,944,-930,-260
-15858,-730,4062,758,-1162,-176
-15840,-1012,4166,476,-1240,-174
-15792,-994,4446,82,-1158,-308
-15882,-808,4604,-276,-1052,-428
-16128,-258,4802,-574,-866,-412
-16312,74,4854,-592,-560,-314
