ax,ay,az,gx,gy,gz
-16262,-620,1704,1128,752,0
-16206,-810,1834,1170,528,-6
-16104,-976,1888,1084,186,42
-16414,-948,1646,872,-260,34
-16826,-874,952,526,-588,152
-17486,-732,2570,208,952,278
-17460,-194,2698,702,1752,346
-16674,-314,2314,734,2256,662
-15546,-956,3188,1072,2494,814
-15424,-646,1860,990,1348,494
-15902,-342,1644,746,1178,178
-15832,-492,2322,842,604,-116
-16074,-418,1752,710,-84,-292
-16256,-830,1394,570,-342,-218
-16292,-1112,1314,330,-754,-160
-16696,-1220,1432,-4,-812,-16
-16838,-956,1926,-200,-174,54
-16892,-630,1532,-284,136,44
-16646,-416,1382,-422,306,130
-16266,-498,962,-846,-142,274
-16634,-786,2244,-1082,318,416
-17188,-694,2768,-474,992,368
-16968,-656,1868,-114,1658,604
-15912,-1024,2278,106,2090,808
-15346,-692,2338,502,1666,458
-15842,-10,1342,590,1076,22
-16158,254,1202,520,902,-204
-15918,-92,1484,360,146,-370
-16492,100,806,586,-592,-332
-17846,-886,318,198,-280,348
-17986,-810,2188,534,1294,814
-17446,206,3172,1070,2162,1086
-16012,710,2150,1928,1794,1608
-15268,968,1546,2912,1026,1984
-14882,1390,818,3860,-512,1742
-15004,1720,518,4368,-1424,1096
-15080,1408,650,4828,-2352,230
-15474,292,400,4586,-3262,-374
-16698,-732,260,4228,-3384,-650
-18370,-1568,-542,2964,-2656,-412
-19052,-2390,-498,1620,-1490,362
-17856,-3020,-38,652,830,1002
-16214,-2004,348,-140,2044,742
-14792,-330,1138,-706,2298,28
-14638,410,958,-536,1466,-690
-15570,730,32,-506,962,-1490
-16994,864,-488,-518,1612,-1964
-17040,738,-26,-556,2358,-2030
-16580,488,862,-414,2214,-2128
-16550,544,1150,-30,2032,-2092
