ax,ay,az,gx,gy,gz
-15580,-986,5568,-258,38,150
-15532,-960,5670,-310,152,154
-15458,-978,5688,-324,138,124
-15408,-946,5632,-350,58,92
-15440,-808,5544,-330,22,78
-15492,-774,5574,-294,-30,74
-15450,-746,5606,-194,-66,72
-15508,-750,5586,-94,-92,52
-15440,-678,5542,8,-144,14
-15464,-726,5550,132,-214,16
-15534,-824,5528,154,-234,8
-15638,-938,5522,124,-182,0
-15588,-1004,5532,104,-58,12
-15526,-976,5600,84,24,40
-15472,-984,5642,56,-28,38
-15462,-968,5594,14,-80,34
-15516,-932,5560,-16,-46,34
-15486,-884,5598,-34,-36,10
-15442,-860,5628,-36,-62,0
-15418,-856,5664,-12,-88,0
-15460,-784,5662,28,-120,-16
-15556,-790,5638,76,-122,-18
-15566,-810,5582,110,-100,-16
-15500,-870,5556,112,-18,28
-15452,-932,5630,98,18,36
-15454,-960,5636,58,-46,34
-15434,-942,5626,24,-66,16
-15484,-934,5690,-34,-20,26
-15508,-986,5710,-108,-26,52
-15536,-1026,5700,-172,-14,76
-15500,-942,5650,-210,2,110
-15510,-902,5654,-200,16,106
-15538,-752,5668,-74,60,66
-15498,-556,5646,92,186,22
-15360,-392,5646,290,274,-56
-15246,-384,5736,506,208,-118
-15418,-744,5914,608,-102,-128
-15610,-1140,5572,542,-452,-68
-15526,-1200,5344,416,-278,20
-15354,-1076,5696,330,-20,-32
-15292,-1022,5834,280,-66,-172
-15382,-962,5752,220,-172,-230
-15602,-926,5578,120,-220,-136
-15806,-994,5614,50,-124,16
-15698,-1094,5692,-78,58,168
-15416,-1136,5706,-154,122,216
-15196,-1130,5610,-220,94,148
-15258,-1054,5658,-268,2,96
-15504,-986,5650,-330,-128,72
-15690,-930,5526,-392,-136,56
