ax,ay,az,gx,gy,gz
-16362,870,3700,-1016,-278,150
-16366,972,3698,-1040,-36,340
-16058,954,3756,-1146,340,490
-15834,900,3938,-1262,414,504
-15874,794,3982,-1448,218,460
-16000,1062,3728,-1592,58,320
-15908,1272,3692,-1556,190,436
-15726,1116,3800,-1504,224,426
-15706,720,4016,-1678,-82,358
-15770,170,3860,-2126,-584,248
-15724,-144,3730,-2440,-976,130
-15540,118,3730,-2800,-1248,102
-15466,62,4024,-3182,-1538,36
-15506,362,4168,-3414,-1776,-382
-15710,1482,4206,-3290,-2084,-938
-15942,2190,4304,-2862,-1978,-1104
-16122,2474,4410,-2084,-1812,-1234
-16238,2824,4452,-764,-1692,-1368
-16126,3054,4656,566,-1470,-1424
-15890,2606,5112,2262,-1152,-1278
-15858,1910,5456,3230,-1118,-1146
-15906,826,5198,3942,-1246,-980
-15836,-36,4828,4046,-1134,-928
-15756,-646,4804,3752,-858,-730
-15836,-1372,5238,3052,-554,-328
-15918,-1836,5596,2352,-564,-242
-15726,-1118,5676,1108,-896,-618
-15770,-1500,4878,264,-1022,-482
-15722,-1172,4322,-948,-410,-92
-15712,-1204,4016,-1216,168,172
-15956,-418,4142,-1632,620,18
-16010,588,4972,-1852,802,-286
-15650,758,5230,-1662,438,-408
-15600,356,5008,-1224,-426,-248
-15598,538,4684,-1110,-940,-102
-15954,528,4356,-626,-816,-246
-16164,314,4264,-298,-390,-250
-15956,-720,4192,70,-82,-272
-15730,-822,4268,-140,80,-354
-15612,-604,4604,-302,180,-468
-15848,-354,4764,-508,58,-602
-16126,-918,4586,-778,82,-288
-16296,-1346,4318,-792,408,-482
-16204,-1322,4404,-1008,1026,-158
-15896,-712,4628,-1158,1320,-182
-15796,-146,4814,-1078,1424,-78
-15884,-88,4886,-814,1660,-100
-15768,-156,4944,-420,2050,-196
-15628,480,5146,-66,2218,-728
-15698,142,5478,314,2226,-676
