ax,ay,az,gx,gy,gz
-16394,394,1820,818,288,-512
-16444,-28,2054,1056,182,-476
-16778,-374,2200,1250,-94,-220
-16932,-656,2080,1288,-214,196
-16700,-1042,2002,1180,-244,576
-16222,-1228,1912,616,-190,618
-15922,-1248,1770,104,-140,588
-15982,-958,1464,-524,-70,344
-16346,-510,1304,-950,132,126
-16504,46,1226,-1366,442,-24
-16354,440,1358,-1508,504,-56
-16324,814,1388,-1436,430,-100
-16320,930,1356,-1130,456,-246
-16318,856,1390,-810,588,-478
-16220,552,1550,-452,666,-816
-16196,224,1650,-216,568,-958
-16288,-110,1702,58,280,-1012
-16426,-348,1878,226,10,-976
-16550,-682,2058,364,-240,-868
-16466,-1164,2526,650,-562,-494
-16826,-702,2252,802,-1178,-76
-16578,-1114,1804,502,-874,412
-15840,-1466,2054,40,-870,458
-16294,-890,1304,-528,-908,348
-16878,-248,1054,-862,-464,320
-16996,90,876,-1022,112,418
-16634,698,1194,-820,752,368
-16268,1176,1592,-474,752,244
-15928,1014,1820,218,326,-20
-16056,332,1702,712,246,-394
-16442,-208,1624,1042,392,-696
-16590,-736,1598,1116,648,-708
-16322,-1008,1748,1016,552,-576
-16304,-1106,1852,686,204,-424
-16568,-1232,1856,284,136,-298
-16736,-1066,1982,-334,202,-74
-16766,-1200,2070,-856,374,136
-16602,-1400,1852,-1708,482,330
-16384,-1502,1542,-2806,438,542
-16272,-1194,1406,-3604,358,586
-16398,-748,1690,-4466,316,560
-16358,-602,1760,-4980,250,508
-16370,-368,1642,-5180,228,378
-16488,-388,1660,-5252,252,212
-16502,-434,1620,-5392,218,290
-16280,-732,1650,-5450,80,314
-16260,-1064,1874,-5714,-110,474
-16366,-1348,1902,-6404,-462,848
-16740,-1590,2028,-6906,-738,1102
-16908,-1030,1926,-7334,-692,1380
