ax,ay,az,gx,gy,gz
3232,3816,-15982,-524,260,488
3148,3730,-16252,-1298,-134,636
3310,3866,-15926,-2166,-886,682
3712,4054,-15152,-2382,-2018,576
3610,3944,-15238,-2140,-1464,-164
3462,4030,-15008,-946,540,-564
3412,4100,-14880,-2,2002,-520
3094,4014,-15170,28,1978,-508
3046,4162,-15504,-1214,950,44
3116,4434,-15216,-3020,-1358,396
3250,4402,-15056,-3358,-2582,96
3520,4430,-15336,-2536,-2160,-166
3516,4328,-15344,-1288,-934,-810
3466,4452,-14886,-92,-18,-1438
3262,4532,-14750,1490,-116,-1332
3050,4342,-15036,1650,-360,-1094
2788,4252,-15180,986,-1454,-780
1836,700,-15706,-3912,-2028,-618
2256,2934,-18730,-13542,-2490,-712
3510,6952,-15480,-9222,-1162,-848
3088,6388,-13832,-5166,-436,-852
3128,6474,-14342,66,712,-38
2610,6104,-14854,1868,1934,-38
2478,6010,-15212,1136,1980,202
2482,5988,-15182,-200,1176,318
2472,6196,-15040,-938,368,352
2514,6350,-15004,-1040,120,702
2526,6336,-14974,-638,574,1162
2866,6190,-15136,-34,1222,1680
2986,6126,-15168,-2,1570,1688
3376,5806,-14976,-386,1204,1600
3664,5582,-14824,-640,676,1132
3762,5576,-14678,-956,168,646
3646,5514,-14672,-1206,-304,270
3682,5512,-14690,-1066,-122,138
3638,5662,-14724,-314,336,130
3512,5696,-14784,92,880,18
3358,5766,-14462,18,400,-78
3248,5904,-14500,-206,-352,-32
3280,5924,-14966,-442,-428,-62
3192,5926,-14928,-742,-384,-70
3240,5984,-14792,-1022,-510,22
3298,6086,-14592,-934,-660,-18
3252,6228,-14586,-860,-624,172
3326,6188,-14496,-520,-506,316
3464,6158,-14672,52,-458,68
3298,6178,-15012,-72,-132,-96
3316,6104,-14828,-548,-324,-174
3404,6144,-14766,-966,-854,-346
3222,6386,-14844,-1206,-1216,-622
