ax,ay,az,gx,gy,gz
-13900,-3688,-7950,18,-36,-14
-13884,-3708,-7980,14,-18,14
-13856,-3654,-8008,26,16,18
-13924,-3642,-7998,36,-82,-14
-14048,-3666,-7992,62,-60,-16
-13924,-3672,-7964,50,12,-22
-13826,-3724,-7950,24,6,-16
-13862,-3692,-7938,4,-52,-16
-13946,-3740,-7966,10,-24,-20
-13922,-3746,-7930,18,22,-8
-13836,-3700,-7974,38,-20,0
-13910,-3702,-7970,38,-10,-12
-13882,-3684,-7942,30,56,4
-13908,-3704,-7960,-8,44,32
-13828,-3772,-8010,18,2,54
-13922,-3732,-8064,16,-28,34
-13894,-3704,-8000,28,16,22
-13866,-3622,-7960,38,14,18
-13888,-3654,-7962,48,28,42
-13910,-3708,-7990,42,0,24
-13944,-3730,-8022,42,-28,28
-13924,-3700,-7974,46,-20,26
-13886,-3696,-7996,32,4,18
-13890,-3708,-8010,38,0,12
-13902,-3706,-7928,40,14,28
-13908,-3704,-7964,46,8,22
-13872,-3710,-8016,38,2,40
-13842,-3692,-8018,48,-32,24
-13990,-3702,-8002,56,-56,4
-13952,-3676,-7944,86,-6,24
-13864,-3668,-8006,84,50,38
-13838,-3712,-7974,92,-6,18
-13902,-3696,-7936,56,-20,4
-13900,-3774,-7962,40,46,16
-13880,-3746,-7956,18,34,28
-13882,-3738,-7984,12,8,44
-13920,-3672,-8002,12,-4,22
-13894,-3668,-7996,0,-6,14
-13800,-3756,-7992,20,2,32
-13828,-3742,-8006,42,-2,42
-13878,-3686,-8036,32,-8,16
-13894,-3610,-8022,20,0,16
-13884,-3650,-7992,16,-18,42
-13892,-3698,-8016,58,6,40
-13894,-3716,-8030,48,6,16
-13928,-3678,-8004,54,-46,22
-13918,-3690,-8002,50,-42,28
-13856,-3698,-7998,44,-34,18
-13922,-3752,-7974,16,-20,20
-13916,-3716,-7990,32,0,32
