ax,ay,az,gx,gy,gz
-14972,1232,-6428,32,-214,56
-15026,1218,-6426,-50,-250,88
-15104,1212,-6508,-54,-270,100
-15144,1246,-6400,-34,-250,70
-15082,1206,-6392,-24,-244,74
-15058,1174,-6352,-22,-268,92
-15128,1224,-6346,-28,-210,88
-15194,1280,-6338,-18,-148,50
-15202,1322,-6354,-2,-126,-2
-15158,1364,-6248,-34,-142,-12
-15124,1368,-6202,-18,-118,2
-15168,1340,-6386,0,-86,10
-15150,1316,-6368,20,-78,8
-15154,1288,-6306,6,-66,-30
-15124,1256,-6322,10,-34,-34
-15058,1312,-6312,2,-50,-50
-15104,1332,-6330,52,-56,-42
-15188,1316,-6330,70,-16,-56
-15150,1304,-6342,68,10,-38
-15102,1324,-6372,60,20,-40
-15066,1294,-6330,72,0,-18
-15108,1210,-6386,88,-10,0
-15126,1158,-6380,94,-14,0
-15098,1172,-6358,72,8,-22
-15126,1240,-6404,44,-6,-32
-15112,1270,-6382,64,-12,-20
-15106,1240,-6336,46,-32,0
-15112,1258,-6338,44,-50,20
-15150,1202,-6330,46,-16,32
-15106,1202,-6288,42,10,30
-15142,1172,-6310,40,42,48
-15182,1136,-6322,34,70,82
-15150,1206,-6410,-28,10,76
-15106,1286,-6372,-4,38,78
-15086,1244,-6442,20,58,70
-15066,1260,-6404,14,54,40
-15066,1362,-6382,-16,8,14
-15058,1430,-6374,2,18,-4
-15046,1410,-6340,32,30,10
-15084,1274,-6402,26,-8,-10
-15096,1238,-6394,36,-10,24
-15110,1168,-6384,48,-24,54
-15178,1118,-6402,36,-30,62
-15126,1206,-6376,30,-22,8
-15054,1232,-6368,14,-40,4
-15064,1286,-6372,12,-60,40
-15162,1266,-6314,6,-42,48
-15160,1240,-6392,-10,-20,36
-15116,1270,-6422,-4,32,-14
-15036,1316,-6374,-10,20,-20
