ax,ay,az,gx,gy,gz
-1576,-14410,-7580,186,0,86
-1318,-14538,-7446,118,200,70
-848,-14712,-7198,-84,434,32
-470,-14884,-7028,-276,506,34
-224,-14920,-7026,-328,344,58
-62,-14618,-7256,-188,32,134
-128,-14208,-7508,76,-222,150
-716,-14034,-7600,194,-490,52
-1606,-14306,-7696,258,-644,-52
-1972,-14750,-7490,258,-282,-74
-1462,-14880,-7126,120,234,34
-934,-14954,-6928,-100,516,100
-640,-14992,-6966,-292,378,114
-624,-14928,-7142,-346,118,42
-622,-14592,-7370,-444,-22,-76
-716,-14298,-7548,-364,-88,-104
-926,-14234,-7628,-236,-76,-36
-892,-14444,-7568,-168,-34,10
-608,-14522,-7440,-124,-30,42
-436,-14546,-7360,-124,-74,22
-790,-14640,-7368,-162,-148,50
-1478,-14894,-7402,-268,-86,160
-1560,-14868,-7404,-324,78,210
-980,-14590,-7368,-368,268,160
-426,-14088,-7572,-426,232,22
-450,-14094,-7848,-228,-20,-52
-986,-14178,-7880,-26,-208,-128
-1132,-14236,-7854,62,-136,-112
-1148,-14362,-7774,190,-24,-50
-1126,-14500,-7598,336,140,86
-940,-14738,-7444,416,272,158
-568,-14722,-7186,304,398,90
-388,-14654,-7116,184,208,2
-476,-14512,-7496,162,-72,-60
-486,-14542,-7408,212,-76,14
-736,-14438,-7562,334,-210,116
-996,-14428,-7648,502,-306,130
-1248,-14378,-7538,506,-272,78
-1192,-14430,-7460,434,-42,38
-1074,-14488,-7374,426,-4,6
-930,-14592,-7292,436,-98,-40
-874,-14620,-7320,442,-190,-106
-978,-14520,-7386,456,-202,-182
-980,-14524,-7430,482,-122,-192
-874,-14602,-7306,494,-42,-188
-742,-14688,-7152,470,-36,-204
-802,-14718,-7174,430,-102,-236
-880,-14770,-7126,402,-96,-182
-754,-14758,-7048,300,-2,-140
-754,-14766,-7072,190,-54,-104
