ax,ay,az,gx,gy,gz
-2966,4138,-16598,-646,3304,-7090
-2748,4286,-17774,28,4142,-7750
-2914,4230,-18270,-594,4304,-6650
-2958,3882,-17822,-2608,6080,-3774
-2410,3536,-16348,-2558,8290,-1660
-1428,3618,-14802,-2540,8502,-322
-590,3906,-14308,-1950,6862,620
132,3912,-13998,-1230,3944,964
-108,3966,-14770,-1278,1468,936
-494,4416,-13736,-290,-1446,2402
-338,4798,-13750,1268,-2484,4004
124,4162,-14084,4162,-1842,4694
1154,3780,-14956,6580,-1108,4044
1078,2806,-15890,6776,-994,2654
730,3536,-17250,-324,-1480,898
-232,3912,-16072,722,-1798,892
520,3474,-16090,-904,-2448,396
-256,3776,-14422,-544,-5092,52
108,3004,-15360,1182,-7056,-234
198,2920,-15940,916,-5248,-2500
-630,3176,-15360,-172,-2860,-3728
-1120,2894,-15374,-584,-1104,-3462
-1090,2502,-15606,-374,-498,-2850
-1524,2580,-15476,306,-638,-2916
-2306,2706,-15658,1470,-1486,-2066
-2456,2484,-16034,1516,-1376,-1486
-2546,4472,-16914,3708,-316,-956
-2656,2584,-16372,2002,-1272,242
-2180,2712,-17224,1358,-1424,1786
-2042,2816,-17274,684,-734,1188
-2322,2820,-17048,304,-512,412
-2636,3086,-16312,68,-720,708
-1746,3132,-16550,-454,-948,1116
-1446,2978,-15890,-1438,-950,-394
-1646,3040,-15550,-1074,-1308,-1426
-1876,3152,-15614,-766,-650,-2024
-2260,3004,-15212,-346,-234,-2040
-2652,3014,-15036,694,-1050,-1504
-2418,3074,-15626,1496,-1634,-502
-2358,3178,-15972,1118,-880,-92
-2162,2880,-15506,558,144,142
-1930,2740,-14936,1220,672,-104
-2054,2348,-15494,2610,732,-570
-2028,2292,-16318,2606,-234,-274
-1888,2312,-16784,1844,-784,-292
-2144,2260,-16748,448,-572,-1246
-2486,2196,-16022,486,-826,-1356
-2338,2220,-16002,626,-466,-1312
-2480,2122,-15878,208,46,-1376
-2496,2008,-15882,32,284,-1386
