ax,ay,az,gx,gy,gz
-16120,734,3812,1640,-262,-368
-16280,660,3748,1642,-234,-374
-16336,422,3670,1582,-40,-352
-16262,340,3736,1498,132,-292
-16162,326,3724,1424,266,-164
-16146,350,3688,1336,400,-54
-16100,302,3736,1146,638,50
-15954,248,3868,928,694,68
-15832,238,3886,700,638,64
-15840,330,3834,502,430,34
-15822,380,3800,348,298,30
-15890,430,3786,162,164,80
-15936,376,3760,-24,48,130
-15976,340,3696,-234,-64,108
-15958,408,3762,-390,-42,78
-15914,502,3904,-456,-8,46
-15912,578,3916,-492,-50,96
-16068,538,3790,-598,-74,206
-16064,424,3676,-712,-6,256
-16038,520,3716,-750,14,206
-15916,638,3720,-810,-64,158
-15972,672,3612,-856,-126,210
-16070,566,3538,-910,-80,250
-16108,592,3572,-866,44,276
-16072,648,3650,-808,98,256
-16142,690,3684,-780,56,192
-16274,744,3536,-736,102,184
-16314,714,3480,-684,266,204
-16184,634,3506,-608,498,274
-16114,608,3556,-586,548,274
-16096,578,3528,-598,586,308
-16112,470,3462,-608,622,362
-16088,392,3462,-648,696,354
-16130,376,3508,-726,700,338
-16182,310,3438,-834,624,370
-16220,190,3250,-1012,634,368
-16144,192,3308,-1126,656,346
-15996,222,3366,-1230,494,254
-16080,224,3288,-1250,378,220
-16214,284,3166,-1274,366,196
-16236,324,3086,-1300,344,216
-16230,326,3052,-1312,336,220
-16200,324,3006,-1278,306,206
-16192,362,3004,-1244,282,180
-16188,316,3030,-1166,264,148
-16274,282,2972,-1162,228,120
-16258,280,2946,-1150,242,102
-16194,232,3000,-1124,266,46
-16148,202,3086,-1096,174,10
-16178,258,3016,-1134,2,-88
