ax,ay,az,gx,gy,gz
-16524,-560,1660,-522,-8,-168
-16494,-476,1680,-328,84,-128
-16448,-488,1606,12,60,-134
-16478,-314,1624,460,140,-192
-16710,66,1596,994,276,-250
-16874,370,1654,1706,476,-94
-16942,502,1812,2160,770,260
-16808,592,1840,2550,836,646
-16612,388,1688,2836,740,986
-16436,8,1698,2956,572,1200
-16184,-636,1580,2738,318,1164
-15814,-1072,1672,2414,182,1000
-15578,-1090,1726,2198,-176,540
-15740,-610,1640,2038,-486,162
-16006,-306,1730,1972,-640,-150
-16484,-70,1972,1822,-836,-288
-16848,184,1844,1768,-800,-276
-16792,480,1742,1886,-448,-52
-16552,208,1926,2034,-346,124
-16438,-100,2030,2130,-522,248
-16382,-366,1952,2094,-600,382
-16532,-554,1950,1814,-590,538
-16540,-812,1698,1338,-568,602
-16372,-934,1750,856,-660,868
-16308,-384,1924,474,-800,838
-16256,-218,1970,120,-956,816
-16018,174,2176,-306,-1170,970
-15934,58,2202,-174,-1388,594
-15996,510,2320,-262,-1652,382
-16244,788,2340,-68,-1778,28
-16330,860,2392,-88,-1798,38
-16166,166,2520,-162,-1646,-14
-16026,636,2762,-304,-1512,-314
-15996,710,2664,-148,-1616,-664
-16352,1560,2758,-274,-1626,-738
-16396,1860,2724,-272,-1598,-524
-16580,914,2784,-404,-980,-660
-16276,-414,2930,-726,-746,-614
-15930,52,3130,-850,-952,-912
-15716,130,2792,-980,-1452,-908
-15728,634,2966,-846,-1660,-1256
-15834,1612,3512,-404,-2002,-1214
-15648,1564,3424,-90,-2124,-1206
-15774,1012,3548,228,-2358,-1384
-16228,618,3596,298,-2556,-1350
-16528,446,3390,404,-2272,-1180
-16596,654,3746,310,-1914,-652
-16456,48,3702,366,-1826,-62
-16348,-460,3696,378,-1632,462
-16218,-176,4302,80,-1292,996
