ax,ay,az,gx,gy,gz
-860,-15944,-3662,38,-74,32
-946,-15998,-3668,50,-74,72
-1000,-16088,-3610,78,-88,52
-1084,-16082,-3536,58,-38,60
-1092,-15986,-3512,-4,0,62
-1054,-15954,-3592,-80,46,42
-952,-15998,-3586,-128,44,-12
-922,-15950,-3610,-172,2,-46
-876,-15968,-3672,-162,-24,-22
-852,-15922,-3688,-154,34,-14
-820,-15876,-3688,-32,-6,44
-848,-15866,-3750,14,-64,34
-958,-15808,-3754,60,-96,32
-1012,-15806,-3778,138,-74,40
-938,-15798,-3768,146,-110,20
-970,-15938,-3680,198,-140,-30
-1032,-16056,-3628,204,-102,-34
-1056,-15984,-3584,164,12,-10
-940,-15986,-3576,120,62,-2
-984,-16046,-3602,76,22,-40
-1066,-15988,-3640,82,38,-52
-970,-15958,-3622,38,92,-60
-754,-16028,-3482,10,86,-44
-652,-16008,-3486,-48,-36,-10
-742,-15964,-3644,-50,-84,34
-792,-15980,-3672,-22,-114,72
-852,-15956,-3600,32,-190,84
-988,-15922,-3702,46,-230,82
-1092,-15938,-3682,30,-146,78
-1058,-15924,-3640,38,-60,72
-1050,-15956,-3578,50,-88,32
-1122,-15998,-3632,-42,-50,-24
-1108,-15982,-3634,-124,50,-52
-936,-15998,-3578,-168,82,-48
-802,-16010,-3670,-116,80,4
-814,-15942,-3622,-74,124,60
-910,-15846,-3672,-74,112,126
-1006,-15910,-3678,-144,94,98
-1058,-15954,-3722,-188,86,18
-1016,-15866,-3770,-178,88,-46
-1018,-15792,-3822,-160,106,-64
-950,-15914,-3828,-82,138,-38
-942,-15984,-3760,12,198,-44
-918,-15980,-3644,6,230,-20
-982,-15920,-3728,34,232,2
-940,-15908,-3720,42,236,-4
-790,-15934,-3660,54,166,-10
-756,-16000,-3632,40,90,-28
-734,-16002,-3636,52,-18,-2
-726,-16042,-3590,-2,-106,10
