ax,ay,az,gx,gy,gz
-15248,-990,5270,468,750,-64
-15330,-742,5602,158,-442,46
-15854,-782,4878,510,-1066,-190
-15790,-106,4542,518,-494,-28
-16014,-1134,4810,964,-316,-430
-15976,-1198,4628,768,-28,-332
-15890,-916,4962,562,138,-142
-15530,-1002,4958,154,300,-76
-15618,-1032,4846,414,302,-256
-15578,-930,4962,310,24,-76
-15670,-790,4748,380,-350,96
-15852,-696,4780,634,-286,82
-15968,-886,4690,454,-32,64
-16100,-1250,5046,174,-144,52
-15986,-150,5074,-464,48,150
-15510,-496,5100,358,-8,-106
-15400,-790,4928,6,180,-316
-16010,-578,5190,100,-10,-302
-15902,-394,4578,-4,60,-66
-15592,-508,4706,208,248,-100
-15520,-632,5040,618,-66,-74
-15718,-598,5104,746,-250,-114
-15806,-770,5096,348,-322,-46
-15710,-1028,4932,348,-302,2
-15714,-1222,4846,-106,14,164
-15838,-952,4736,-42,-6,-82
-15784,-1164,4886,492,-196,-148
-15798,-986,4906,286,-188,12
-15672,-934,4904,-32,-2,26
-15580,-926,4942,-102,-90,-84
-15848,-866,4888,-60,-188,-112
-15816,-858,4698,-34,-86,-6
-15636,-832,4770,-6,-32,56
-15542,-946,4910,44,-76,10
-15644,-1020,4966,108,-208,-42
-15656,-854,4904,270,-306,-122
-15678,-850,4834,128,-260,-58
-16080,-808,4696,88,-176,-92
-15810,-586,4742,144,80,-156
-15656,-864,5002,232,128,-158
-15684,-954,4960,250,-52,-86
-15776,-842,4732,64,-148,-138
-15852,-932,4756,96,154,-88
-15970,-1282,4868,-128,296,4
-15878,-1494,4748,-342,134,28
-15774,-736,4728,-368,330,-76
-15512,-726,4780,-372,398,-24
-15632,-756,5170,-286,-92,108
-15698,-888,4884,-460,-260,204
-15864,-1226,4960,0,-222,382
