ax,ay,az,gx,gy,gz
-12944,-4928,-8552,1320,-316,-800
-12996,-5120,-8440,1430,-568,-756
-13262,-5084,-8546,1500,-738,-780
-13398,-5178,-8360,1606,-536,-850
-13278,-5064,-7988,1598,-346,-674
-13236,-5734,-7852,1598,-374,-534
-13428,-5592,-7834,1700,-376,-538
-13686,-5484,-8014,1700,-96,-450
-13590,-5792,-7482,1832,328,-466
-13446,-5688,-7416,1700,414,-682
-13394,-5414,-7836,1854,616,-878
-13608,-5300,-8108,2050,834,-840
-13562,-5584,-8398,2374,1132,-624
-13036,-5124,-8024,2416,1276,-206
-12560,-5736,-7970,2560,1124,-188
-12868,-5812,-7758,2488,888,20
-12856,-6132,-8136,2606,858,146
-12756,-6028,-8276,2670,888,242
-12704,-6088,-8244,3010,742,630
-12766,-6266,-8128,3182,786,454
-12632,-6124,-8192,3496,634,368
-12790,-6098,-8056,3684,586,312
-13118,-5964,-7968,3782,866,302
-13244,-5614,-7770,3880,1176,474
-13038,-6186,-7826,4166,1284,626
-12958,-6916,-7684,4344,1376,468
-13116,-7194,-7476,4308,1298,444
-12936,-7222,-7470,4426,1384,726
-12608,-7332,-7402,4222,1424,994
-12526,-7372,-7138,4068,1482,1038
-12456,-7422,-7076,3960,1344,1084
-12478,-7332,-7184,3846,1240,1104
-12632,-7468,-6978,3604,1286,1146
-12854,-7520,-7012,3420,1258,1206
-13226,-7432,-7190,3202,1354,1236
-13122,-7360,-7190,3218,1666,1312
-12704,-7302,-7080,3304,1804,1404
-12578,-7424,-7034,3274,1782,1512
-12608,-7328,-7226,3320,1770,1684
-12726,-7142,-7550,3382,1900,1816
-12770,-7178,-7370,3358,2026,1964
-12788,-7322,-7304,3336,2110,2194
-12818,-7468,-7188,3362,2184,2358
-12712,-7586,-7088,3342,2254,2470
-12752,-7752,-6932,3188,2438,2568
-13030,-7980,-6882,2920,2664,2666
-13164,-7792,-7160,2614,2814,2836
-13008,-7302,-7512,2640,2790,2824
-12546,-6766,-7570,2842,2914,2844
-12366,-6558,-7752,2834,2736,2962
