ax,ay,az,gx,gy,gz
-16106,-1578,2160,-106,26,-2
-16178,-1656,2306,-202,-130,16
-16246,-1632,2392,-302,-266,-8
-16252,-1616,2492,-306,-338,-34
-16202,-1854,2388,-358,-380,-34
-16274,-1864,2218,-470,-300,28
-16424,-1662,2242,-574,-118,14
-16328,-1426,2416,-538,118,54
-16248,-1368,2600,-494,84,6
-16242,-1366,2478,-456,34,-54
-16324,-1444,2384,-360,120,-74
-16306,-1486,2454,-352,200,-54
-16106,-1582,2506,-346,94,-26
-16014,-1768,2456,-374,-26,14
-16102,-1770,2498,-494,-90,12
-16178,-1658,2572,-606,-120,86
-16104,-1442,2696,-594,-142,114
-16368,-1294,2506,-404,-294,86
-16480,-1428,1932,-328,-336,132
-16142,-1884,1338,-368,-424,76
-16084,-2036,1678,-626,-104,-130
-16384,-1522,2446,-576,458,-208
-16528,-956,3172,-134,718,2
-16072,-848,3138,110,382,170
-15930,-1356,2922,278,-144,12
-16148,-1932,2760,242,-268,-138
-16262,-1958,2812,8,-174,-140
-16416,-1536,2642,-22,-108,-52
-16428,-1428,1928,-28,-134,134
-16050,-1268,988,-74,-714,204
-16498,-2688,826,-10,-862,-26
-16596,-1488,1668,-376,1352,-60
-15808,-824,3014,52,1264,110
-15886,-450,3058,240,94,6
-16344,-722,2590,938,268,-330
-16218,-1726,2780,1172,488,-286
-15946,-2294,2896,1064,-58,-8
-15784,-1870,2502,1026,-290,230
-16078,-1842,2112,1074,-178,448
-17112,-1686,2090,844,-42,156
-17384,-1322,2298,388,538,-168
-15790,-1212,2502,468,1044,-162
-15520,-1726,1798,756,488,-110
-16112,-608,1258,634,-656,-156
-16810,-2444,1072,966,-1212,-236
-16672,-2370,1488,464,758,-90
-15976,-2074,2518,418,742,116
-16196,-1070,2682,412,374,156
-16344,-698,2764,998,662,-96
-15856,-1330,2994,1200,562,-172
