ax,ay,az,gx,gy,gz
-15298,-678,4634,-4092,1592,1170
-15374,-438,4648,-3950,1290,926
-15448,-212,4680,-3672,996,754
-15592,-202,4648,-3314,620,650
-15592,-226,4676,-3036,348,574
-15464,-192,4638,-2702,54,440
-15580,-162,4574,-2240,-412,248
-15724,-140,4498,-1856,-670,124
-15744,-164,4446,-1446,-762,-6
-15726,-304,4494,-1172,-720,-92
-15822,-392,4538,-858,-750,-116
-15972,-428,4358,-524,-782,-156
-16076,-432,4312,-330,-676,-142
-16048,-530,4338,-158,-442,-56
-15920,-652,4406,-70,-308,0
-15930,-852,4502,-8,-308,-14
-15960,-986,4418,-18,-352,-58
-15946,-968,4302,-48,-214,-16
-15762,-994,4446,-100,-12,18
-15844,-1042,4642,-184,-40,2
-15936,-1082,4540,-264,-34,32
-15908,-1072,4536,-328,68,114
-15920,-1202,4642,-494,146,166
-16018,-1250,4650,-654,182,196
-16096,-1326,4598,-812,342,232
-16088,-1392,4570,-978,614,352
-16014,-1334,4518,-1108,804,442
-15954,-1162,4402,-1146,1066,478
-16008,-1034,4480,-1216,1204,428
-15984,-1066,4350,-1274,1270,452
-15832,-1140,4366,-1296,1366,546
-15682,-1186,4404,-1298,1296,552
-15684,-1098,4366,-1332,988,440
-15802,-1092,4242,-1382,750,306
-15800,-1106,4238,-1324,624,330
-15488,-928,4394,-1284,552,390
-15266,-998,4482,-1168,200,368
-15508,-870,4432,-1146,-330,162
-15838,-964,4150,-1184,-550,48
-15974,-812,4050,-1210,-490,32
-15946,-820,4138,-1070,-510,22
-16070,-642,4380,-762,-472,38
-16020,-574,4236,-562,-396,4
-15820,-530,4168,-382,-358,-36
-15560,-526,4206,-212,-452,-34
-15652,-776,4244,-168,-580,-10
-16010,-1034,4152,-296,-608,-36
-16254,-1158,4002,-520,-466,-46
-16210,-1180,3946,-764,-128,68
-15966,-1318,4044,-936,32,182
