ax,ay,az,gx,gy,gz
-2292,1028,-16082,210,-58,-18
-2308,920,-16164,274,-36,-8
-2274,842,-16152,162,-42,-20
-2288,854,-16108,-26,-24,20
-2258,916,-16058,-70,-4,46
-2296,922,-16172,-18,22,24
-2274,924,-16140,-72,46,36
-2208,930,-16172,-62,18,6
-2240,958,-16118,-78,-10,-2
-2322,778,-16374,-294,14,34
-2230,1060,-16044,202,-74,-20
-2268,1056,-16158,70,-42,14
-2302,996,-16156,180,-46,-12
-2208,1048,-16142,-18,-8,46
-2272,978,-16132,268,-52,-4
-2288,878,-16176,214,-28,-8
-2260,938,-16086,-60,-22,32
-2294,912,-16132,-32,-28,14
-1948,1902,-15928,-198,20,80
-2280,1408,-16100,-204,-32,34
-2136,1920,-16216,416,-76,48
-2242,1304,-16236,-22,6,28
-2332,794,-16026,-82,36,30
-2788,2024,-15786,24,6,72
-2060,1906,-16676,258,-50,8
-2172,826,-16188,-2,-6,22
-2152,974,-16176,6,-84,14
-2306,836,-16284,90,-88,0
-2318,968,-16118,50,-22,10
-2292,950,-16120,-40,42,46
-2258,1004,-16144,60,12,16
-2252,958,-16118,136,-24,-2
-2280,934,-16178,150,-6,-6
-2296,846,-16120,-62,16,16
-2248,862,-16188,46,-10,12
-2256,964,-16148,68,-84,0
-2340,590,-16016,-4,-82,-8
-2252,902,-16178,-200,-44,28
-2214,1080,-16198,-208,-46,18
-2334,1154,-16154,-336,-30,12
-2256,946,-16030,-312,94,68
-2216,988,-16208,-96,-4,22
-2284,1034,-16082,18,-14,4
-2252,1062,-16122,44,-8,18
-2266,992,-16130,34,-22,14
-2284,992,-16138,36,-26,16
-2276,976,-16152,8,-24,12
-2256,990,-16092,16,-24,18
-2266,968,-16158,18,-16,8
-2252,998,-16088,24,-16,2
