ax,ay,az,gx,gy,gz
-15938,-50,4514,16,-46,12
-15960,-20,4478,14,8,44
-15842,-6,4528,10,42,48
-15784,-26,4616,-8,-8,16
-15796,-32,4550,8,-32,0
-15864,-42,4524,-4,-6,24
-15888,-42,4538,-16,10,18
-15852,-68,4528,-4,8,32
-15818,-22,4540,-6,12,32
-15842,6,4574,14,-30,4
-15872,-12,4516,40,-56,-6
-15870,-38,4520,64,-8,2
-15862,-50,4554,56,2,30
-15792,-76,4518,56,-4,34
-15776,-36,4528,54,12,18
-15850,-100,4554,28,6,-2
-15882,-108,4480,36,-8,-2
-15872,-18,4522,50,24,-2
-15836,22,4524,44,-22,20
-15854,-44,4464,24,-16,34
-15848,-102,4478,22,22,-6
-15844,-50,4532,20,12,-30
-15870,10,4490,20,-6,-20
-15868,-6,4452,24,4,22
-15840,-82,4512,-8,6,16
-15788,-42,4574,0,12,-18
-15804,14,4598,46,-36,-40
-15868,10,4504,62,-52,-24
-15946,-34,4478,76,-30,10
-15922,-116,4468,12,-6,34
-15808,-122,4562,-2,22,42
-15792,-22,4584,-2,-38,-12
-15874,18,4484,10,-46,-16
-15890,-28,4426,20,24,26
-15874,-62,4494,8,48,48
-15824,-52,4558,-6,-16,16
-15878,-8,4506,-8,-102,-18
-15910,0,4418,22,-54,-10
-15912,-42,4526,46,20,40
-15830,-86,4546,40,6,42
-15796,-64,4464,30,8,4
-15786,-54,4484,46,30,-14
-15814,-28,4484,60,36,-2
-15924,-50,4474,72,32,30
-15962,-108,4480,46,20,32
-15850,-110,4520,12,26,20
-15792,-54,4552,2,38,12
-15804,-62,4472,14,-6,26
-15796,-46,4474,32,-34,12
-15840,-28,4496,32,-12,-12
