ax,ay,az,gx,gy,gz
-16256,-456,2522,20,336,168
-16178,-288,2552,68,302,116
-16040,-198,2554,230,154,28
-16010,-276,2622,296,-50,-32
-16134,-492,2732,250,-394,-84
-16376,-786,2644,158,-546,-4
-16392,-886,2390,18,-532,100
-16242,-696,2366,-128,-386,166
-16138,-482,2530,-160,-228,58
-16110,-330,2898,-72,-60,-102
-16352,-388,3150,108,-44,-164
-16798,-506,3192,352,102,-86
-16872,-630,3062,638,566,132
-16304,-708,3008,684,816,334
-15740,-886,3164,708,762,372
-15792,-946,3164,682,542,206
-16000,-888,2730,496,214,16
-16114,-808,2578,252,40,-44
-16206,-690,2610,64,-128,-88
-16282,-650,2724,-82,-284,-8
-16408,-694,2742,-184,-352,78
-16356,-784,2616,-378,-374,182
-16272,-816,2432,-526,-342,236
-16238,-754,2434,-758,-224,260
-16278,-638,2632,-830,-80,250
-16418,-540,2684,-822,44,240
-16408,-552,2642,-756,124,232
-16328,-580,2518,-674,238,210
-16268,-592,2578,-570,470,186
-16320,-540,2662,-426,524,176
-16372,-532,2592,-300,534,174
-16298,-564,2574,-272,600,172
-16242,-564,2572,-254,648,180
-16218,-544,2588,-228,604,124
-16248,-508,2596,-192,502,90
-16250,-478,2570,-128,436,70
-16204,-416,2600,-60,410,62
-16174,-360,2600,28,362,52
-16196,-364,2564,84,344,40
-16236,-352,2612,116,334,36
-16280,-274,2596,272,374,10
-16328,-266,2488,456,414,-2
-16486,-160,2340,698,438,-30
-16510,-76,2330,794,518,-2
-16206,-340,2416,812,464,76
-16086,-606,2436,790,240,42
-16194,-714,2460,692,68,-2
-16410,-708,2326,526,-4,32
-16364,-856,2400,352,-34,70
-16204,-926,2368,108,-92,70
