ax,ay,az,gx,gy,gz
-1226,-6410,-14904,-236,206,-200
-1286,-6670,-15068,16,558,42
-1292,-6638,-15130,172,648,-292
-1192,-6308,-15044,404,610,-364
-1200,-6248,-14918,812,766,2
-1326,-6406,-14720,1046,954,-40
-1490,-6594,-14500,1074,1078,-358
-1538,-6614,-14456,1116,1148,-406
-1846,-6568,-14568,764,1198,-590
-2030,-6318,-14598,-274,436,-868
-2104,-5932,-14682,-1250,-1340,-802
-2678,-5400,-14936,-1772,-3188,-176
-3080,-5378,-15148,-1708,-3510,-26
-3112,-5714,-14732,-1866,-2856,-552
-2878,-5984,-14498,-2228,-2908,-1298
-2272,-5942,-14156,-2586,-3252,-1812
-1778,-5618,-13554,-3128,-3878,-1142
-1618,-5850,-13418,-4320,-4980,-132
-1640,-6422,-13744,-5974,-6564,524
-1674,-6172,-13804,-6870,-7200,892
-1776,-5598,-13444,-7226,-7418,1742
-1884,-5058,-12888,-7046,-7718,2960
-2188,-4536,-12170,-7388,-8308,4610
-2474,-4062,-10978,-8102,-9362,6420
-862,-2330,-10786,-18522,-7460,2962
-646,-218,-8928,-14928,-9952,6318
-2130,-1592,-8318,-8588,-13870,11782
-1422,-1070,-11852,-4662,-15028,16864
-1712,-2782,-12336,-6312,-10772,17762
-3840,-2786,-13384,-6258,-4812,15752
-5032,-1400,-15502,-6682,1454,11786
-6282,-524,-16026,-9954,4808,7930
-5686,1774,-16290,-9968,4792,5500
-6892,3982,-17716,-7076,4152,5410
-9800,4062,-18736,-2494,7788,3046
-8076,3928,-18166,-566,11822,802
-6140,3610,-17330,-1362,13082,556
-5512,3382,-16420,-5556,11470,-362
-5832,3966,-16810,-6428,8244,-1660
-4322,5844,-19374,-7326,5740,-1190
-4228,5986,-19698,-8350,4742,-396
-5300,6236,-18720,-7950,3932,-502
-6630,6884,-17432,-4774,2600,626
-7812,7160,-17266,104,2096,2030
-7970,6058,-17376,4014,2844,3196
-7076,5534,-17668,4694,3380,3528
-6344,4758,-17916,3716,3664,4624
-6982,3240,-17922,3168,2894,3134
-6622,4320,-17702,2358,1778,1810
-5560,3276,-17204,-404,-222,-2448
