ax,ay,az,gx,gy,gz
-2258,998,-16156,20,-24,8
-2266,974,-16120,20,-28,-6
-2304,996,-16150,24,-20,24
-2250,1008,-16124,22,-22,18
-2236,1028,-16118,14,-22,10
-2250,986,-16150,40,-10,14
-2216,1002,-16122,16,-18,4
-2278,1028,-16162,30,-24,32
-2288,1004,-16162,24,-26,4
-2256,1016,-16164,26,-26,16
-2266,1006,-16120,18,-32,2
-2280,996,-16120,28,-20,8
-2244,1010,-16116,26,-18,0
-2234,976,-16122,20,-12,2
-2264,990,-16148,18,-26,6
-2266,1006,-16100,16,-26,14
-2266,990,-16118,28,-30,12
-2280,986,-16200,18,-24,4
-2258,986,-16114,28,-24,10
-2270,972,-16156,22,-28,6
-2256,1038,-16122,24,-26,12
-2254,996,-16134,10,-26,14
-2266,996,-16126,24,-28,14
-2262,1008,-16116,28,-34,18
-2266,998,-16124,20,-28,16
-2244,996,-16140,20,-20,18
-2278,988,-16184,20,-20,4
-2270,990,-16118,10,-34,6
-2244,980,-16182,28,-20,8
-2264,1008,-16118,26,-22,16
-2264,1012,-16126,32,-20,2
-2272,990,-16170,10,-20,22
-2254,978,-16126,20,-32,-2
-2252,980,-16112,28,-28,18
-2246,996,-16170,26,-36,14
-2258,992,-16134,24,-22,10
-2262,1012,-16144,28,-14,-2
-2294,992,-16160,24,-22,18
-2268,1032,-16130,34,-20,20
-2266,1014,-16152,22,-26,14
-2260,1000,-16154,28,-20,14
-2240,978,-16146,20,-20,6
-2244,986,-16126,14,-22,8
-2242,994,-16138,20,-32,14
-2254,1006,-16140,22,-24,6
-2268,1014,-16136,32,-24,8
-2262,984,-16142,44,-20,8
-2284,1000,-16132,24,-28,10
-2288,986,-16182,24,-24,10
-2256,982,-16160,22,-14,16
