ax,ay,az,gx,gy,gz
-3914,-32766,20474,-12368,12862,7350
3054,-25666,10044,-21108,3578,-4018
-450,-23582,15470,-25954,3850,-4728
-3670,-19634,20702,-24548,5148,-6310
-1332,-12804,18300,-22680,1438,-5060
-4118,-2044,14688,-13166,-4880,-8098
-4810,2824,7928,-9130,-1744,-4266
-4080,-9722,5858,-2050,2746,3578
-3796,-19986,5888,-1172,3944,4512
-4838,-24246,8506,-6556,5574,290
-3376,-20734,9046,-9576,252,-3684
-2744,-20848,9494,-11548,-2048,-3796
-3390,-18044,11178,-13274,-2404,-4948
-3946,-12218,9170,-14890,-4224,-4666
-5326,-10862,5980,-13996,-3934,-1744
-7354,-15076,4382,-11734,648,-318
-6018,-17090,4602,-11372,3166,-1030
-4090,-14534,6608,-13094,2850,-1510
-3466,-11270,7102,-13304,2358,-888
-2000,-10906,5428,-9998,1336,1276
-1378,-11740,3532,-8278,-582,2334
-1878,-10790,3222,-6718,-2456,3030
-4180,-10290,4284,-3498,-4396,3578
-6760,-6848,5494,-1384,-5038,4102
-17614,-20420,-9036,298,2190,2688
-13116,-26262,-3560,280,11800,1606
-4942,-22992,12508,-7376,11940,-2482
-2932,-21420,14934,-4264,6832,-2442
-10076,-32620,12378,-7448,98,408
-9508,-28522,6134,-8290,-8738,-4794
-8272,-11858,-1124,-10390,-5622,-3602
-10580,-5806,-5322,-8174,-2352,1656
-11090,-11364,-6416,-6828,1238,3144
-8628,-17404,-3932,-10886,4614,3512
-6022,-19936,-1470,-12312,4606,3084
-5600,-17564,-388,-10770,1668,748
-7510,-11778,-1648,-8394,-408,1762
-8446,-11240,-4124,-7304,754,3048
-7642,-13124,-4790,-6802,2734,3924
-7078,-15472,-3998,-6218,3602,2670
-6726,-15546,-3570,-7508,4512,1562
-6432,-15290,-3490,-8608,4866,224
-6684,-15016,-3356,-9844,4424,94
-7874,-14496,-3252,-10784,3278,-838
-8280,-13188,-4026,-11026,2534,-1932
-7822,-10906,-4446,-10818,2078,-3042
-7626,-11076,-4702,-9584,1202,-3718
-7560,-10374,-6526,-8126,-392,-5286
-8208,-7950,-9304,-6966,-580,-5384
-8982,-8064,-10208,-4646,800,-5164
