ax,ay,az,gx,gy,gz
-16576,160,1606,-252,264,8
-16560,168,1604,-330,494,50
-16436,184,1658,-390,582,66
-16410,232,1742,-402,612,36
-16394,302,1738,-418,620,46
-16318,324,1762,-390,554,86
-16248,378,1756,-366,388,88
-16236,422,1722,-268,230,70
-16186,394,1704,-122,10,30
-16260,398,1702,-2,-232,-20
-16406,330,1574,102,-448,-54
-16462,294,1552,180,-510,-46
-16502,236,1616,276,-560,30
-16462,146,1600,300,-532,104
-16414,118,1622,302,-468,122
-16378,98,1566,292,-312,94
-16358,192,1672,280,-166,46
-16396,154,1578,330,-78,-24
-16510,234,1546,388,38,-66
-16554,262,1672,432,164,-60
-16452,190,1644,440,302,26
-16400,84,1790,418,380,84
-16420,90,1848,352,402,50
-16480,140,1790,332,494,30
-16214,194,1820,318,480,50
-16138,192,1760,294,264,28
-16132,234,1576,312,34,6
-16184,334,1520,346,-290,-32
-16190,224,1626,352,-570,-80
-16338,-56,1618,208,-864,-144
-16540,-162,1552,14,-906,-172
-16634,-60,1526,-154,-692,-108
-16624,78,1490,-194,-454,-4
-16594,226,1496,-142,-232,60
-16518,418,1480,-72,-54,80
-16464,440,1460,18,62,86
-16356,400,1530,142,142,68
-16368,244,1516,200,196,58
-16418,44,1500,146,306,6
-16370,-14,1500,22,444,-58
-16356,-36,1616,-152,532,-78
-16432,-116,1630,-398,478,-84
-16446,12,1456,-504,490,-54
-16394,232,1528,-576,474,-30
-16296,264,1520,-636,302,-18
-16216,226,1560,-654,94,-16
-16248,324,1542,-684,-268,-38
-16400,372,1390,-658,-394,-44
-16454,340,1452,-516,-362,4
-16496,312,1606,-374,-388,60
