ax,ay,az,gx,gy,gz
-2286,980,-16124,26,-30,0
-2316,962,-16144,26,-16,10
-2304,956,-16158,32,-16,-2
-2290,998,-16124,28,-22,16
-2300,966,-16132,26,-20,2
-2296,984,-16148,22,-24,14
-2228,966,-16142,16,-18,6
-2274,960,-16146,24,-26,8
-2296,956,-16146,14,-26,20
-2288,960,-16128,22,-24,6
-2292,980,-16136,34,-24,16
-2270,996,-16116,30,-16,8
-2272,970,-16134,24,-18,10
-2290,966,-16122,36,-22,18
-2290,968,-16164,22,-22,14
-2264,940,-16152,24,-26,14
-2270,968,-16140,20,-12,12
-2314,990,-16142,26,-30,-2
-2284,980,-16130,28,-20,20
-2312,974,-16144,14,-24,10
-2288,970,-16142,24,-16,8
-2292,972,-16134,20,-20,14
-2248,972,-16144,26,-22,16
-2262,980,-16154,14,-8,12
-2314,990,-16140,20,-24,6
-2268,970,-16136,20,-12,12
-2310,996,-16150,34,-30,8
-2280,982,-16130,18,-20,6
-2278,964,-16128,32,-26,4
-2278,976,-16134,30,-26,8
-2270,966,-16126,26,-24,2
-2288,968,-16108,28,-20,0
-2292,964,-16142,12,-18,4
-2310,982,-16124,36,-30,24
-2292,986,-16118,22,-22,14
-2264,980,-16116,22,-22,-8
-2286,966,-16122,28,-22,14
-2276,958,-16138,24,-28,14
-2278,964,-16144,20,-26,14
-2272,966,-16152,20,-24,24
-2284,972,-16130,32,-16,6
-2298,984,-16136,28,-20,14
-2290,982,-16140,14,-24,4
-2314,974,-16128,24,-26,8
-2290,950,-16146,30,-26,4
-2290,950,-16124,24,-26,0
-2280,972,-16138,26,-16,12
-2282,972,-16108,16,-18,10
-2270,994,-16112,26,-16,4
-2296,982,-16146,22,-26,10
