ax,ay,az,gx,gy,gz
-2858,-15906,-2602,70,-30,-100
-2832,-15892,-2580,118,-94,-98
-2936,-15816,-2676,218,-166,-106
-2988,-15790,-2724,242,-140,-70
-2966,-15846,-2670,290,-52,-18
-2962,-15960,-2630,352,-14,24
-2908,-15968,-2470,420,-52,26
-2878,-16026,-2402,364,-84,28
-2948,-15980,-2384,274,-140,26
-2964,-16002,-2446,226,-118,16
-2948,-16004,-2444,224,-118,18
-2924,-15938,-2372,154,-116,36
-2912,-15918,-2404,146,-196,38
-2956,-15948,-2362,134,-264,16
-2938,-15972,-2360,188,-320,-18
-2968,-15982,-2436,212,-298,-34
-3000,-15916,-2438,212,-298,-74
-3090,-15866,-2472,288,-340,-66
-2970,-15710,-2546,356,-240,-72
-2960,-15976,-2530,426,-208,-80
-3184,-15622,-2576,416,-158,-10
-3214,-15866,-2592,544,-26,-42
-3072,-16044,-2458,500,84,70
-2784,-15992,-2152,538,48,2
-2822,-16010,-2108,494,-100,-54
-3086,-16054,-2148,446,-66,-62
-3022,-16132,-2126,410,42,-28
-2876,-15948,-2128,182,46,78
-2902,-16040,-2156,188,-32,-12
-3008,-16010,-2208,250,-32,-12
-3014,-15938,-2230,240,62,18
-2946,-15988,-2098,170,42,16
-3014,-16050,-2150,156,-48,-38
-3002,-16048,-2186,168,-40,-16
-2900,-16018,-2096,110,-12,2
-3020,-16084,-2022,-42,-58,-22
-3096,-16184,-2056,-152,-14,-52
-2918,-16156,-2082,-192,110,10
-2850,-16048,-2076,-240,142,48
-2866,-16000,-2138,-284,78,48
-2916,-15976,-2222,-236,54,46
-2930,-15968,-2270,-242,78,68
-2930,-16006,-2202,-262,-14,58
-2980,-15984,-2204,-272,-24,48
-2952,-16012,-2272,-262,-36,30
-2964,-16000,-2340,-286,-48,36
-3092,-15996,-2340,-218,-4,46
-3052,-15892,-2406,-182,52,18
-2990,-15856,-2448,-140,86,4
-2998,-15840,-2410,-112,94,12
