ax,ay,az,gx,gy,gz
-17600,-736,4268,-2140,-576,-832
-16848,-108,4022,-2314,544,352
-15554,-174,4766,-2004,926,910
-15280,-876,4972,-1278,-100,1238
-15736,-1472,4442,-952,-602,1168
-16102,-1680,3870,-1040,-260,1062
-17070,-782,4594,-982,-470,1438
-16392,-252,4022,-620,362,1174
-15162,-1220,3970,-70,1934,330
-14586,-2624,4424,-206,1784,-652
-16022,-1312,4934,-282,292,-546
-16244,-858,3976,-68,702,-332
-15982,-958,4260,-434,1252,-150
-15830,-1572,4228,-192,648,86
-15772,-1734,3982,-418,828,56
-15666,-1270,4544,-264,746,0
-15734,-1218,4324,-146,540,-42
-15830,-1376,4032,-74,584,-196
-15888,-1466,4138,14,678,-296
-15874,-1376,4158,72,584,-266
-15890,-1198,4096,232,380,-126
-15898,-1380,4108,352,286,-106
-15658,-1638,3844,414,298,-218
-15762,-1614,3944,364,174,-278
-15832,-1584,3868,420,42,-76
-15868,-1700,4010,356,30,12
-15850,-1736,3956,342,-202,6
-15884,-1800,3978,356,-350,0
-15770,-1780,4030,440,-410,-120
-15526,-1566,4070,414,-582,-202
-15466,-1708,4314,352,-736,-296
-15624,-1704,4350,290,-1018,-358
-15756,-1610,4120,148,-1302,-456
-15862,-1438,3968,82,-1350,-372
-16026,-1472,4120,-50,-1146,-250
-16088,-1544,4190,-66,-1052,-136
-15972,-1660,4246,-110,-960,-36
-15760,-1706,4256,-170,-902,10
-15798,-1688,4330,-196,-918,-6
-15914,-1702,4078,-342,-806,-74
-16734,-924,4668,-228,-1240,404
-16190,-1324,4108,-210,-714,762
-15744,-1588,4364,-122,-466,748
-15522,-1732,4524,98,-546,600
-15668,-2098,4184,118,-604,264
-15540,-2168,3972,26,-222,-52
-15640,-1794,4334,150,12,-564
-15724,-1514,4358,216,124,-594
-16466,-998,4776,488,-580,-66
-16022,-1082,4482,504,-258,150
