ax,ay,az,gx,gy,gz
-18698,-210,344,-2500,3392,-1202
-19104,-996,1866,-2970,6664,-946
-15678,-2606,5232,-3210,6514,-1644
-12760,1404,6898,-3064,2800,-1462
-14856,-532,5214,-1982,-1516,-484
-17612,-2114,2270,-1680,-848,-438
-17726,-2784,1396,-2802,790,-324
-16906,-1670,1444,-3756,1078,220
-16172,-238,1386,-3294,928,974
-16042,784,2294,-2190,664,1514
-16350,1400,3020,-1378,26,1562
-16884,1566,3154,-924,-570,1782
-16972,608,2622,-848,-768,1958
-16582,-866,1586,-1222,-368,1802
-16292,-1274,1208,-1194,282,1286
-15936,-1292,1420,-976,898,738
-15658,-1094,1608,-614,1158,118
-15868,-820,1700,-108,1200,-362
-15946,-2082,-486,416,1118,-912
-15730,-764,-662,-124,1310,-1752
-15374,1198,870,1326,1428,-2826
-15392,1270,1850,2718,1356,-3178
-15694,262,1798,3924,1084,-3374
-16632,228,1360,5384,1148,-3758
-17118,-306,1882,6860,1180,-3132
-17084,-2160,3292,8228,1430,-2400
-16432,-3242,4778,8964,782,-1682
-16734,-3826,4702,9234,-1202,-368
-18480,-3118,2308,9536,-1556,1198
-19154,-2566,586,9810,-266,2806
-17292,-2100,1080,8836,1002,3962
-15700,-2044,1588,7844,328,4112
-15144,-1808,1410,7026,-1224,3612
-15362,-1250,1278,6820,-1746,3160
-15798,-1204,1514,6752,-1692,2422
-15944,-818,2064,6290,-1420,1874
-15984,-990,2552,6060,-1458,1426
-16108,-970,2214,5888,-1450,748
-16438,-552,2266,5566,-1238,426
-16768,-188,2500,5214,-482,262
-16768,-26,2848,5034,-4,136
-16494,-198,2824,5046,446,-126
-16006,294,3456,5356,524,34
-15796,28,3840,5912,78,288
-15850,-506,3954,6464,-902,554
-16024,-90,3704,7008,-1840,632
-16122,854,3988,7922,-2906,1120
-16512,962,4512,8374,-3582,1808
-16934,-208,4484,8272,-3968,2378
-16910,-528,3560,7714,-3896,2836
